% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 1 MOhm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.002305 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 100 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-15 T 13:32:16 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00230524e+06, -4.9886e+01, -1.8458e+01, -3.9308e+00, -1.8320e+01
8.98975863e+05, -4.9893e+01, -1.6571e+01, -3.9296e+00, -1.6421e+01
8.06298891e+05, -4.9884e+01, -1.4783e+01, -3.9288e+00, -1.4717e+01
7.23176148e+05, -4.9891e+01, -1.3259e+01, -3.9287e+00, -1.3188e+01
6.48622672e+05, -4.9858e+01, -1.1885e+01, -3.9294e+00, -1.1815e+01
5.81755043e+05, -4.9928e+01, -1.0617e+01, -3.9300e+00, -1.0583e+01
5.21780912e+05, -4.9957e+01, -9.5787e+00, -3.9305e+00, -9.4784e+00
4.67989618e+05, -4.9948e+01, -8.4782e+00, -3.9325e+00, -8.4856e+00
4.19743762e+05, -4.9953e+01, -7.6488e+00, -3.9326e+00, -7.5961e+00
3.76471653e+05, -4.9918e+01, -6.8048e+00, -3.9336e+00, -6.8010e+00
3.37660542e+05, -4.9910e+01, -6.0498e+00, -3.9346e+00, -6.0781e+00
3.02850534e+05, -4.9878e+01, -5.4702e+00, -3.9364e+00, -5.4355e+00
2.71629150e+05, -4.9870e+01, -4.8741e+00, -3.9375e+00, -4.8575e+00
2.43626433e+05, -4.9876e+01, -4.3926e+00, -3.9381e+00, -4.3385e+00
2.18510564e+05, -4.9877e+01, -3.8340e+00, -3.9390e+00, -3.8724e+00
1.95983933e+05, -4.9868e+01, -3.4089e+00, -3.9412e+00, -3.4547e+00
1.75779612e+05, -4.9906e+01, -3.0903e+00, -3.9428e+00, -3.0801e+00
