% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 1 MOhm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-15 T 12:49:58 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -4.9914e+01, -1.8388e+01, -3.9294e+00, -1.8277e+01
8.96924538e+05, -4.9919e+01, -1.6516e+01, -3.9292e+00, -1.6382e+01
8.04473626e+05, -4.9945e+01, -1.4797e+01, -3.9293e+00, -1.4682e+01
7.21552135e+05, -4.9953e+01, -1.3207e+01, -3.9292e+00, -1.3156e+01
6.47177815e+05, -4.9945e+01, -1.1884e+01, -3.9301e+00, -1.1787e+01
5.80469663e+05, -4.9923e+01, -1.0657e+01, -3.9304e+00, -1.0559e+01
5.20637484e+05, -4.9913e+01, -9.4924e+00, -3.9311e+00, -9.4565e+00
4.66972534e+05, -4.9944e+01, -8.5062e+00, -3.9317e+00, -8.4671e+00
4.18839124e+05, -4.9950e+01, -7.6189e+00, -3.9335e+00, -7.5795e+00
3.75667088e+05, -4.9951e+01, -6.7720e+00, -3.9346e+00, -6.7830e+00
3.36945029e+05, -4.9959e+01, -6.0925e+00, -3.9348e+00, -6.0651e+00
3.02214265e+05, -4.9960e+01, -5.4190e+00, -3.9364e+00, -5.4241e+00
2.71063389e+05, -4.9940e+01, -4.8823e+00, -3.9371e+00, -4.8471e+00
2.43123405e+05, -4.9958e+01, -4.3512e+00, -3.9385e+00, -4.3299e+00
2.18063348e+05, -4.9965e+01, -3.8517e+00, -3.9393e+00, -3.8646e+00
1.95586367e+05, -4.9969e+01, -3.4936e+00, -3.9418e+00, -3.4478e+00
1.75426212e+05, -4.9964e+01, -3.0749e+00, -3.9439e+00, -3.0746e+00
1.57344074e+05, -4.9969e+01, -2.7284e+00, -3.9455e+00, -2.7373e+00
1.41125761e+05, -4.9979e+01, -2.3857e+00, -3.9467e+00, -2.4362e+00
1.26579158e+05, -4.9978e+01, -2.0810e+00, -3.9482e+00, -2.1671e+00
1.13531953e+05, -4.9985e+01, -1.9342e+00, -3.9499e+00, -1.9245e+00
1.01829594e+05, -4.9986e+01, -1.6831e+00, -3.9532e+00, -1.7084e+00
9.13334617e+04, -4.9992e+01, -1.4732e+00, -3.9545e+00, -1.5140e+00
8.19192229e+04, -4.9989e+01, -1.2133e+00, -3.9568e+00, -1.3417e+00
7.34753611e+04, -4.9995e+01, -1.1034e+00, -3.9595e+00, -1.1882e+00
6.59018543e+04, -4.9991e+01, -9.5962e-01, -3.9625e+00, -1.0487e+00
5.91089902e+04, -5.0005e+01, -8.7853e-01, -3.9630e+00, -9.2655e-01
5.30163037e+04, -5.0001e+01, -8.1565e-01, -3.9659e+00, -8.1702e-01
4.75516237e+04, -5.0007e+01, -6.5861e-01, -3.9679e+00, -7.2031e-01
4.26502181e+04, -5.0000e+01, -5.9323e-01, -3.9697e+00, -6.3578e-01
3.82540271e+04, -5.0015e+01, -5.2370e-01, -3.9718e+00, -5.5883e-01
3.43109756e+04, -5.0020e+01, -4.4093e-01, -3.9731e+00, -4.9255e-01
3.07743559e+04, -5.0012e+01, -3.8470e-01, -3.9744e+00, -4.3294e-01
2.76022750e+04, -5.0004e+01, -4.3261e-01, -3.9765e+00, -3.8166e-01
2.47571577e+04, -5.0017e+01, -3.4646e-01, -3.9778e+00, -3.3484e-01
2.22053022e+04, -5.0016e+01, -3.1844e-01, -3.9788e+00, -2.9521e-01
1.99164804e+04, -5.0036e+01, -2.3401e-01, -3.9800e+00, -2.5995e-01
1.78635800e+04, -5.0019e+01, -2.3515e-01, -3.9809e+00, -2.2898e-01
1.60222832e+04, -5.0024e+01, -5.0655e-02, -3.9828e+00, -2.0238e-01
1.43707790e+04, -5.0021e+01, -1.2765e-01, -3.9835e+00, -1.7763e-01
1.28895043e+04, -5.0030e+01, -7.5035e-02, -3.9845e+00, -1.5772e-01
1.15609127e+04, -5.0036e+01, -9.3214e-02, -3.9848e+00, -1.3915e-01
1.03692663e+04, -5.0067e+01, -1.5586e-01, -3.9863e+00, -1.2183e-01
9.30044934e+03, -5.0054e+01, -8.2647e-02, -3.9861e+00, -1.0883e-01
8.34180123e+03, -5.0023e+01, -1.7521e-01, -3.9858e+00, -9.7777e-02
7.48196621e+03, -5.0048e+01, -1.4539e-01, -3.9867e+00, -8.7397e-02
6.71075908e+03, -5.0055e+01, -4.7250e-02, -3.9865e+00, -7.8035e-02
6.01904449e+03, -4.9994e+01, 1.8443e-02, -3.9865e+00, -6.9523e-02
5.39862869e+03, -4.9975e+01, -2.4210e-01, -3.9871e+00, -6.3447e-02
4.84216254e+03, -5.0011e+01, -2.2642e-01, -3.9879e+00, -5.6764e-02
4.34305440e+03, -5.0051e+01, -3.7298e-01, -3.9875e+00, -4.8867e-02
3.89539206e+03, -5.0036e+01, -8.1914e-02, -3.9873e+00, -4.4558e-02
3.49387272e+03, -5.0058e+01, -1.0036e-01, -3.9880e+00, -4.2275e-02
3.13374018e+03, -4.9996e+01, -2.5711e-01, -3.9875e+00, -3.4963e-02
2.81072846e+03, -4.9963e+01, -2.8145e-01, -3.9874e+00, -3.1431e-02
2.52101132e+03, -5.0054e+01, -1.7522e-01, -3.9879e+00, -2.9547e-02
2.26115691e+03, -5.0015e+01, -1.0619e-01, -3.9879e+00, -2.7894e-02
2.02808712e+03, -5.0034e+01, -4.6625e-02, -3.9868e+00, -2.5079e-02
1.81904110e+03, -5.0044e+01, -9.9673e-02, -3.9870e+00, -2.1788e-02
1.63154260e+03, -5.0039e+01, 2.5009e-01, -3.9882e+00, -1.9075e-02
1.46337059e+03, -5.0018e+01, -1.4106e-01, -3.9879e+00, -1.2312e-02
1.31253299e+03, -5.0052e+01, -1.1517e-01, -3.9871e+00, -1.5697e-02
1.17724305e+03, -5.0052e+01, 2.6987e-02, -3.9880e+00, -1.6474e-02
1.05589818e+03, -4.9983e+01, 3.3975e-02, -3.9878e+00, -9.6374e-03
9.47060982e+02, -4.9992e+01, -1.9071e-01, -3.9877e+00, -9.1025e-03
8.49442234e+02, -5.0031e+01, 3.1385e-01, -3.9887e+00, -1.2276e-02
7.61885583e+02, -5.0045e+01, -1.3097e-01, -3.9873e+00, -1.1589e-02
6.83353874e+02, -5.0014e+01, 4.3551e-01, -3.9877e+00, -6.3699e-03
6.12916857e+02, -4.9984e+01, 1.3189e-01, -3.9875e+00, -5.5558e-03
5.49740169e+02, -5.0032e+01, -6.6764e-02, -3.9875e+00, -3.7990e-03
4.93075447e+02, -5.0036e+01, -4.7840e-01, -3.9881e+00, -8.7913e-03
4.42251467e+02, -5.0045e+01, -1.7699e-01, -3.9867e+00, -2.5034e-03
3.96666193e+02, -4.9952e+01, -5.1297e-01, -3.9884e+00, -2.7318e-03
3.55779641e+02, -5.0037e+01, -2.2030e-02, -3.9869e+00, -6.0286e-03
3.19107490e+02, -4.9953e+01, -5.6756e-01, -3.9875e+00, -3.1932e-03
2.86215338e+02, -5.0100e+01, -3.3310e-02, -3.9869e+00, -6.1923e-03
2.56713560e+02, -4.9981e+01, 1.2274e-04, -3.9875e+00, -6.4189e-03
2.30252691e+02, -5.0012e+01, -4.2685e-02, -3.9867e+00, 5.9582e-04
2.06519288e+02, -4.9955e+01, 3.4501e-01, -3.9868e+00, 1.9344e-03
1.85232217e+02, -5.0081e+01, 1.4207e-01, -3.9890e+00, -1.8061e-03
1.66139321e+02, -5.0035e+01, 4.6894e-01, -3.9871e+00, -6.4300e-03
1.49014434e+02, -5.0054e+01, 5.2387e-02, -3.9886e+00, 3.0462e-03
1.33654702e+02, -5.0068e+01, 2.0326e-01, -3.9879e+00, -2.5700e-03
1.19878182e+02, -4.9958e+01, 6.2669e-02, -3.9876e+00, -3.1645e-03
1.07521683e+02, -5.0012e+01, -6.8015e-01, -3.9879e+00, -5.5727e-04
9.64388355e+01, -4.9993e+01, 1.6324e-01, -3.9883e+00, -1.6859e-03
8.64983580e+01, -5.0024e+01, -2.0321e-01, -3.9872e+00, -2.7098e-03
7.75824997e+01, -5.0035e+01, -1.9196e-02, -3.9885e+00, -2.5678e-04
6.95856477e+01, -5.0051e+01, -1.2678e-01, -3.9878e+00, -6.7115e-04
6.24130749e+01, -5.0027e+01, -3.4035e-02, -3.9874e+00, -2.0140e-03
5.59798183e+01, -4.9991e+01, -1.2884e-02, -3.9883e+00, 2.1820e-03
5.02096727e+01, -5.0020e+01, -7.4595e-02, -3.9877e+00, -1.6873e-03
4.50342874e+01, -4.9962e+01, -3.8071e-01, -3.9865e+00, 1.5725e-03
4.03923574e+01, -4.9926e+01, -2.2350e-01, -3.9883e+00, -3.0847e-03
3.62288965e+01, -5.0078e+01, 2.6894e-01, -3.9880e+00, 1.0945e-03
3.24945863e+01, -4.9967e+01, 2.5977e-02, -3.9886e+00, -1.7133e-03
2.91451918e+01, -4.9978e+01, 3.1806e-01, -3.9889e+00, -2.2443e-03
2.61410376e+01, -5.0019e+01, 1.9520e-01, -3.9885e+00, 4.2452e-05
2.34465381e+01, -5.0037e+01, -1.1338e-01, -3.9872e+00, 1.1656e-03
2.10297753e+01, -5.0060e+01, -1.8878e-01, -3.9880e+00, -1.9665e-03
1.88621215e+01, -5.0035e+01, 3.9593e-01, -3.9874e+00, -2.9705e-04
1.69178996e+01, -5.0046e+01, 2.3716e-01, -3.9878e+00, -2.2351e-03
1.51740793e+01, -5.0072e+01, -1.4741e-01, -3.9872e+00, 5.1195e-04
1.36100041e+01, -5.0048e+01, 2.8847e-01, -3.9874e+00, -1.2757e-03
1.22071466e+01, -5.0010e+01, -2.9019e-01, -3.9880e+00, 6.1253e-04
1.09488893e+01, -4.9942e+01, -2.6404e-01, -3.9877e+00, -1.0769e-03
9.82032749e+00, -5.0055e+01, -3.5680e-02, -3.9885e+00, 1.7586e-03
8.80809269e+00, -4.9989e+01, -2.3902e-01, -3.9881e+00, -9.7403e-04
7.90019446e+00, -5.0039e+01, -5.6584e-02, -3.9888e+00, -2.6055e-03
7.08587827e+00, -5.0054e+01, 3.5990e-01, -3.9883e+00, 1.1274e-03
