% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 1 MOhm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.002305 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 200 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-15 T 15:42:33 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00230524e+06, -4.9945e+01, -1.8486e+01, -3.9300e+00, -1.8322e+01
8.98975863e+05, -4.9947e+01, -1.6574e+01, -3.9314e+00, -1.6422e+01
8.06298891e+05, -4.9948e+01, -1.4839e+01, -3.9305e+00, -1.4718e+01
7.23176148e+05, -4.9950e+01, -1.3295e+01, -3.9303e+00, -1.3188e+01
6.48622672e+05, -4.9918e+01, -1.1897e+01, -3.9306e+00, -1.1816e+01
5.81755043e+05, -4.9938e+01, -1.0621e+01, -3.9322e+00, -1.0584e+01
5.21780912e+05, -4.9925e+01, -9.5432e+00, -3.9329e+00, -9.4786e+00
4.67989618e+05, -4.9920e+01, -8.5364e+00, -3.9336e+00, -8.4860e+00
4.19743762e+05, -4.9935e+01, -7.6404e+00, -3.9340e+00, -7.5959e+00
3.76471653e+05, -4.9927e+01, -6.8326e+00, -3.9337e+00, -6.7987e+00
3.37660542e+05, -4.9947e+01, -6.0996e+00, -3.9368e+00, -6.0795e+00
3.02850534e+05, -4.9930e+01, -5.4546e+00, -3.9373e+00, -5.4351e+00
2.71629150e+05, -4.9959e+01, -4.8303e+00, -3.9373e+00, -4.8578e+00
2.43626433e+05, -4.9954e+01, -4.3571e+00, -3.9401e+00, -4.3382e+00
2.18510564e+05, -4.9972e+01, -3.8537e+00, -3.9423e+00, -3.8732e+00
1.95983933e+05, -4.9973e+01, -3.4263e+00, -3.9429e+00, -3.4549e+00
1.75779612e+05, -4.9964e+01, -3.0477e+00, -3.9440e+00, -3.0792e+00
1.57658188e+05, -4.9950e+01, -2.8785e+00, -3.9447e+00, -2.7437e+00
1.41404934e+05, -4.9972e+01, -2.4298e+00, -3.9483e+00, -2.4413e+00
1.26827255e+05, -4.9983e+01, -2.1476e+00, -3.9502e+00, -2.1709e+00
1.13752415e+05, -4.9976e+01, -1.8707e+00, -3.9517e+00, -1.9283e+00
1.02025482e+05, -4.9984e+01, -1.6799e+00, -3.9543e+00, -1.7110e+00
9.15074995e+04, -4.9984e+01, -1.4481e+00, -3.9558e+00, -1.5166e+00
8.20738336e+04, -4.9984e+01, -1.3055e+00, -3.9580e+00, -1.3430e+00
7.36127006e+04, -4.9993e+01, -1.1821e+00, -3.9609e+00, -1.1872e+00
6.60238403e+04, -4.9987e+01, -9.7017e-01, -3.9632e+00, -1.0508e+00
5.92173288e+04, -4.9992e+01, -8.8979e-01, -3.9658e+00, -9.2748e-01
5.31125123e+04, -5.0004e+01, -7.7513e-01, -3.9677e+00, -8.1853e-01
4.76370518e+04, -4.9998e+01, -7.1239e-01, -3.9696e+00, -7.2201e-01
4.27260660e+04, -5.0015e+01, -5.3967e-01, -3.9704e+00, -6.3573e-01
3.83213622e+04, -5.0010e+01, -5.8392e-01, -3.9731e+00, -5.5987e-01
3.43707469e+04, -5.0013e+01, -4.7959e-01, -3.9747e+00, -4.9270e-01
3.08274073e+04, -5.0014e+01, -4.2877e-01, -3.9767e+00, -4.3383e-01
2.76493567e+04, -5.0018e+01, -3.3828e-01, -3.9784e+00, -3.8208e-01
2.47989369e+04, -5.0024e+01, -3.1818e-01, -3.9805e+00, -3.3630e-01
2.22423717e+04, -5.0030e+01, -2.9351e-01, -3.9817e+00, -2.9564e-01
1.99493673e+04, -5.0019e+01, -2.1841e-01, -3.9825e+00, -2.6051e-01
1.78927526e+04, -5.0020e+01, -1.8350e-01, -3.9836e+00, -2.2969e-01
1.60481579e+04, -5.0028e+01, -1.4443e-01, -3.9851e+00, -2.0230e-01
1.43937256e+04, -5.0034e+01, -1.6894e-01, -3.9859e+00, -1.7870e-01
1.29098516e+04, -5.0022e+01, -1.9131e-01, -3.9861e+00, -1.5747e-01
1.15789528e+04, -5.0027e+01, -1.4588e-01, -3.9864e+00, -1.3967e-01
