% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 1 MOhm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 MHz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 5 cycles; Settling time 100 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-15 T 12:30:44 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
9.99996530e-01, -3.9968e+01, -7.9126e-03, 5.9229e+00, 5.4223e-03
1.11491716e+00, -3.9952e+01, 1.0990e-01, 5.9233e+00, 9.3028e-04
1.24304458e+00, -3.9937e+01, 8.8523e-02, 5.9234e+00, 8.1363e-04
1.38589655e+00, -3.9965e+01, 2.4559e-01, 5.9213e+00, 3.0824e-03
1.54516520e+00, -3.9942e+01, -2.1578e-01, 5.9210e+00, 1.0241e-03
1.72273717e+00, -3.9974e+01, 7.3361e-02, 5.9232e+00, 2.1766e-03
1.92071590e+00, -3.9944e+01, 6.3124e-02, 5.9231e+00, 1.5378e-03
2.14144655e+00, -3.9940e+01, 1.4649e-03, 5.9233e+00, 2.8134e-03
2.38754379e+00, -3.9929e+01, 1.0437e-01, 5.9235e+00, 1.9070e-03
2.66192277e+00, -3.9979e+01, 1.5444e-01, 5.9236e+00, -5.0398e-04
2.96783367e+00, -3.9970e+01, 1.7372e-02, 5.9241e+00, 3.1699e-03
3.30890017e+00, -3.9963e+01, -3.5092e-01, 5.9249e+00, 1.3376e-03
3.68916238e+00, -3.9987e+01, -1.2771e-01, 5.9247e+00, -5.6549e-04
4.11312471e+00, -3.9933e+01, 1.8160e-02, 5.9247e+00, 3.2398e-04
4.58580923e+00, -3.9954e+01, -1.2960e-01, 5.9246e+00, 2.2695e-03
5.11281514e+00, -3.9954e+01, -3.9703e-02, 5.9253e+00, 2.3487e-03
5.70038511e+00, -3.9957e+01, 5.5858e-03, 5.9255e+00, -2.5755e-04
6.35547922e+00, -3.9960e+01, -9.6303e-02, 5.9250e+00, 2.4253e-03
7.08585743e+00, -3.9945e+01, 6.5283e-02, 5.9252e+00, 8.9184e-04
7.90017144e+00, -3.9946e+01, 1.7492e-01, 5.9258e+00, -1.6592e-03
8.80806727e+00, -3.9923e+01, -5.5434e-02, 5.9258e+00, -1.9351e-03
9.82029941e+00, -3.9907e+01, 1.0882e-01, 5.9249e+00, 6.6676e-04
1.09488583e+01, -3.9972e+01, 4.7130e-02, 5.9247e+00, -7.1071e-04
1.22071124e+01, -3.9941e+01, -1.1447e-01, 5.9247e+00, -1.1764e-03
1.36099663e+01, -3.9958e+01, 1.4289e-01, 5.9252e+00, 6.3465e-04
1.51740376e+01, -3.9984e+01, 4.5067e-02, 5.9254e+00, 1.8199e-03
1.69178536e+01, -3.9943e+01, -6.4592e-03, 5.9250e+00, 3.6470e-04
1.88620707e+01, -3.9942e+01, -4.6450e-02, 5.9255e+00, 4.2504e-04
2.10297192e+01, -3.9931e+01, 6.4874e-02, 5.9256e+00, 3.1520e-03
2.34464762e+01, -3.9929e+01, 9.4585e-02, 5.9260e+00, 2.7369e-03
2.61409693e+01, -3.9969e+01, 7.5383e-03, 5.9264e+00, -2.8129e-03
2.91451164e+01, -3.9960e+01, 6.2777e-03, 5.9261e+00, -1.5298e-04
3.24945031e+01, -3.9953e+01, 8.2064e-02, 5.9260e+00, 7.0941e-04
3.62288048e+01, -3.9965e+01, 1.3673e-01, 5.9257e+00, 2.8968e-03
4.03922563e+01, -3.9955e+01, 2.2525e-01, 5.9261e+00, 1.3913e-03
4.50341759e+01, -3.9965e+01, 4.3195e-02, 5.9262e+00, 1.8433e-04
5.02095497e+01, -3.9911e+01, 1.5542e-01, 5.9269e+00, -9.0167e-04
5.59796827e+01, -3.9969e+01, -9.7657e-02, 5.9262e+00, 1.1181e-03
6.24129254e+01, -3.9957e+01, 1.9369e-02, 5.9255e+00, 3.6844e-03
6.95854829e+01, -3.9944e+01, -1.6286e-01, 5.9254e+00, 3.8716e-03
7.75823182e+01, -3.9946e+01, 1.0376e-01, 5.9254e+00, 4.9685e-03
8.64981579e+01, -3.9933e+01, -6.2996e-02, 5.9258e+00, -1.7921e-04
9.64386151e+01, -3.9920e+01, 6.5754e-02, 5.9257e+00, 1.1021e-03
1.07521440e+02, -3.9961e+01, -6.3938e-02, 5.9264e+00, 1.7141e-04
1.19877914e+02, -3.9966e+01, -2.6303e-01, 5.9264e+00, 2.2438e-04
1.33654407e+02, -3.9964e+01, -9.8959e-02, 5.9263e+00, 1.1638e-03
1.49014109e+02, -3.9940e+01, -1.9602e-01, 5.9264e+00, 4.6842e-03
1.66138964e+02, -3.9930e+01, 4.1991e-02, 5.9267e+00, -6.0414e-04
1.85231824e+02, -3.9936e+01, -1.5140e-01, 5.9262e+00, 9.9947e-04
2.06518856e+02, -3.9991e+01, -1.8385e-01, 5.9285e+00, 7.9340e-03
2.30252215e+02, -3.9939e+01, 5.4937e-03, 5.9258e+00, 2.3739e-03
2.56713036e+02, -3.9977e+01, 6.4207e-02, 5.9268e+00, -3.8903e-03
2.86214762e+02, -3.9973e+01, -1.7407e-01, 5.9266e+00, -2.4495e-04
3.19106857e+02, -3.9955e+01, 5.6175e-02, 5.9272e+00, 4.2065e-03
3.55778945e+02, -3.9947e+01, -1.8107e-01, 5.9271e+00, 6.0036e-03
3.96665427e+02, -3.9977e+01, 8.3350e-03, 5.9269e+00, 9.7277e-04
4.42250626e+02, -3.9975e+01, 2.0813e-02, 5.9265e+00, -1.8553e-03
4.93074522e+02, -3.9967e+01, 7.4868e-02, 5.9262e+00, 2.0876e-03
5.49739153e+02, -3.9915e+01, -2.5876e-01, 5.9270e+00, 7.2609e-04
6.12915741e+02, -3.9977e+01, 1.0404e-02, 5.9268e+00, 2.7489e-03
6.83352648e+02, -3.9971e+01, -7.8737e-02, 5.9269e+00, 6.1239e-03
7.61884237e+02, -3.9919e+01, -1.1731e-01, 5.9257e+00, -5.2223e-04
8.49440757e+02, -3.9947e+01, -2.2187e-01, 5.9250e+00, -2.6272e-03
9.47059361e+02, -3.9976e+01, -1.3085e-03, 5.9260e+00, -3.7594e-03
1.05589640e+03, -3.9921e+01, 1.5551e-01, 5.9255e+00, -6.1704e-03
1.17724110e+03, -4.0001e+01, -1.5442e-01, 5.9256e+00, -7.9944e-03
1.31253085e+03, -3.9957e+01, 2.7260e-02, 5.9256e+00, -3.5300e-03
1.46336825e+03, -3.9939e+01, 2.3835e-01, 5.9247e+00, -8.1912e-03
1.63154003e+03, -3.9929e+01, -2.9586e-01, 5.9273e+00, -1.0177e-02
1.81903829e+03, -3.9926e+01, -1.5244e-01, 5.9248e+00, -1.0972e-02
2.02808404e+03, -3.9977e+01, 7.1499e-03, 5.9247e+00, -7.9826e-03
2.26115354e+03, -3.9951e+01, -1.0903e-02, 5.9270e+00, -1.0864e-02
2.52100763e+03, -3.9936e+01, 6.1515e-02, 5.9263e+00, -1.0123e-02
2.81072441e+03, -3.9941e+01, 1.7845e-02, 5.9258e+00, -1.2174e-02
3.13373575e+03, -3.9994e+01, 2.5499e-01, 5.9258e+00, -1.6197e-02
3.49386789e+03, -3.9968e+01, 4.1509e-02, 5.9259e+00, -1.6947e-02
3.89538678e+03, -3.9918e+01, -5.1227e-03, 5.9263e+00, -1.6290e-02
4.34304863e+03, -3.9940e+01, -2.9962e-01, 5.9268e+00, -1.8555e-02
4.84215624e+03, -3.9952e+01, -5.8243e-02, 5.9265e+00, -2.0694e-02
5.39862181e+03, -3.9934e+01, 3.0743e-02, 5.9261e+00, -2.3699e-02
6.01903698e+03, -3.9968e+01, 4.3604e-04, 5.9260e+00, -2.9812e-02
6.71075089e+03, -3.9967e+01, 6.0542e-02, 5.9263e+00, -3.1427e-02
7.48195728e+03, -3.9969e+01, 6.4246e-02, 5.9259e+00, -3.5680e-02
8.34179151e+03, -3.9961e+01, -2.6226e-02, 5.9266e+00, -4.1197e-02
9.30043876e+03, -3.9935e+01, 1.0969e-01, 5.9250e+00, -4.1941e-02
1.03692547e+04, -3.9980e+01, 5.1179e-02, 5.9250e+00, -4.8140e-02
1.15609002e+04, -3.9971e+01, 1.4854e-01, 5.9243e+00, -4.9671e-02
1.28894907e+04, -3.9926e+01, 1.9613e-01, 5.9254e+00, -5.6222e-02
1.43707642e+04, -3.9955e+01, 1.3754e-01, 5.9246e+00, -6.3118e-02
1.60222672e+04, -3.9936e+01, 1.3455e-01, 5.9235e+00, -6.9222e-02
1.78635626e+04, -3.9944e+01, 1.3200e-01, 5.9240e+00, -7.7703e-02
1.99164616e+04, -3.9951e+01, 1.7430e-01, 5.9239e+00, -8.3450e-02
2.22052818e+04, -3.9955e+01, 8.6407e-02, 5.9248e+00, -9.1874e-02
2.47571356e+04, -3.9935e+01, 2.6912e-01, 5.9238e+00, -1.0402e-01
2.76022511e+04, -3.9941e+01, 2.1662e-01, 5.9233e+00, -1.1506e-01
3.07743302e+04, -3.9942e+01, 2.2897e-01, 5.9239e+00, -1.2610e-01
3.43109478e+04, -3.9952e+01, 2.1944e-01, 5.9216e+00, -1.3989e-01
3.82539972e+04, -3.9956e+01, 3.3516e-01, 5.9218e+00, -1.5485e-01
4.26501859e+04, -3.9944e+01, 3.4321e-01, 5.9230e+00, -1.7322e-01
4.75515891e+04, -3.9952e+01, 3.0495e-01, 5.9217e+00, -1.9035e-01
5.30162665e+04, -3.9958e+01, 4.2893e-01, 5.9215e+00, -2.1087e-01
5.91089504e+04, -3.9927e+01, 4.3132e-01, 5.9225e+00, -2.3489e-01
6.59018117e+04, -3.9941e+01, 5.1455e-01, 5.9231e+00, -2.5789e-01
7.34753157e+04, -3.9934e+01, 5.1105e-01, 5.9217e+00, -2.8632e-01
8.19191744e+04, -3.9952e+01, 4.6481e-01, 5.9215e+00, -3.1760e-01
9.13334102e+04, -3.9946e+01, 6.7082e-01, 5.9208e+00, -3.5197e-01
1.01829540e+05, -3.9939e+01, 6.5867e-01, 5.9219e+00, -3.9023e-01
1.13531895e+05, -3.9932e+01, 7.3416e-01, 5.9213e+00, -4.3397e-01
1.26579097e+05, -3.9920e+01, 7.8725e-01, 5.9211e+00, -4.8211e-01
1.41125697e+05, -3.9938e+01, 8.8091e-01, 5.9224e+00, -5.3589e-01
1.57344007e+05, -3.9936e+01, 9.7991e-01, 5.9218e+00, -5.9445e-01
1.75426142e+05, -3.9928e+01, 1.0250e+00, 5.9226e+00, -6.6234e-01
1.95586295e+05, -3.9925e+01, 1.1934e+00, 5.9228e+00, -7.3707e-01
2.18063272e+05, -3.9912e+01, 1.3505e+00, 5.9238e+00, -8.2247e-01
2.43123328e+05, -3.9906e+01, 1.4131e+00, 5.9231e+00, -9.1603e-01
2.71063311e+05, -3.9908e+01, 1.5079e+00, 5.9237e+00, -1.0242e+00
3.02214185e+05, -3.9904e+01, 1.7273e+00, 5.9249e+00, -1.1464e+00
3.36944950e+05, -3.9896e+01, 1.8951e+00, 5.9274e+00, -1.2838e+00
3.75667010e+05, -3.9887e+01, 2.0916e+00, 5.9293e+00, -1.4396e+00
4.18839048e+05, -3.9877e+01, 2.2194e+00, 5.9300e+00, -1.6185e+00
4.66972462e+05, -3.9872e+01, 2.4748e+00, 5.9316e+00, -1.8213e+00
5.20637418e+05, -3.9884e+01, 2.6930e+00, 5.9337e+00, -2.0540e+00
5.80469605e+05, -3.9867e+01, 2.9729e+00, 5.9334e+00, -2.3168e+00
