% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 MHz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 100 ms, 10 cycles; Settling time 1.00 s, 5 cycles
% Internal 10 MHz clock
% Acquired 2026-05-13 T 16:50:08 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
9.99996530e-01, -5.5867e+01, 2.8416e-02, -9.9769e+00, -1.7391e-03
1.11491716e+00, -5.5788e+01, 9.0524e-02, -9.9767e+00, -1.4045e-03
1.24304458e+00, -5.5830e+01, 2.2424e-04, -9.9764e+00, -1.2003e-03
1.38589655e+00, -5.5872e+01, -8.3643e-02, -9.9766e+00, -1.5673e-03
1.54516520e+00, -5.5817e+01, 1.1463e-02, -9.9768e+00, -8.0386e-04
1.72273717e+00, -5.5883e+01, 2.3744e-02, -9.9766e+00, -1.5826e-03
1.92071590e+00, -5.5892e+01, -2.0469e-01, -9.9761e+00, 6.8386e-04
2.14144655e+00, -5.5875e+01, -5.2749e-02, -9.9764e+00, 2.4711e-04
2.38754379e+00, -5.5772e+01, 3.8992e-02, -9.9766e+00, -1.4387e-03
2.66192277e+00, -5.5792e+01, -6.8062e-02, -9.9766e+00, -8.5980e-04
2.96783367e+00, -5.5814e+01, 1.0692e-02, -9.9771e+00, -2.5073e-03
3.30890017e+00, -5.5774e+01, 4.0851e-02, -9.9767e+00, -2.1361e-03
3.68916238e+00, -5.5807e+01, -1.4027e-01, -9.9761e+00, 2.9492e-04
4.11312471e+00, -5.5773e+01, -1.4015e-01, -9.9770e+00, -1.1581e-03
4.58580923e+00, -5.5823e+01, -1.1678e-01, -9.9760e+00, -2.1885e-03
5.11281514e+00, -5.5762e+01, 2.8251e-02, -9.9770e+00, -9.0860e-04
5.70038511e+00, -5.5807e+01, 3.9456e-02, -9.9770e+00, -6.9992e-04
6.35547922e+00, -5.5767e+01, 1.3526e-01, -9.9762e+00, -6.1840e-04
7.08585743e+00, -5.5792e+01, 1.6368e-01, -9.9767e+00, 4.5325e-04
7.90017144e+00, -5.5765e+01, -3.0889e-01, -9.9762e+00, -2.4135e-03
8.80806727e+00, -5.5774e+01, 1.2588e-01, -9.9766e+00, -2.7482e-03
9.82029941e+00, -5.5729e+01, 2.4898e-01, -9.9763e+00, -2.4412e-03
1.09488583e+01, -5.5766e+01, 1.7338e-01, -9.9758e+00, -2.1312e-03
1.22071124e+01, -5.5757e+01, 1.2432e-01, -9.9750e+00, -1.4312e-03
1.36099663e+01, -5.5780e+01, 1.3103e-01, -9.9756e+00, -5.9027e-04
1.51740376e+01, -5.5756e+01, 5.8727e-02, -9.9762e+00, -2.2871e-03
1.69178536e+01, -5.5758e+01, 3.0978e-02, -9.9760e+00, -1.5025e-03
1.88620707e+01, -5.5775e+01, -2.5364e-01, -9.9761e+00, -3.2949e-03
2.10297192e+01, -5.5769e+01, 3.4464e-02, -9.9765e+00, -2.1094e-03
2.34464762e+01, -5.5798e+01, 2.2160e-01, -9.9764e+00, -2.9019e-03
2.61409693e+01, -5.5760e+01, -2.3917e-01, -9.9764e+00, -3.0919e-03
2.91451164e+01, -5.5797e+01, -1.7394e-01, -9.9761e+00, -1.8172e-03
3.24945031e+01, -5.5742e+01, -5.7191e-02, -9.9752e+00, -3.3071e-03
3.62288048e+01, -5.5760e+01, -6.3898e-02, -9.9756e+00, -5.1344e-03
4.03922563e+01, -5.5771e+01, -3.8548e-02, -9.9760e+00, -2.4509e-03
4.50341759e+01, -5.5777e+01, 3.3016e-03, -9.9764e+00, -2.8061e-04
5.02095497e+01, -5.5770e+01, 1.7906e-01, -9.9771e+00, -3.3312e-03
5.59796827e+01, -5.5764e+01, 1.8879e-01, -9.9770e+00, -4.5245e-03
6.24129254e+01, -5.5794e+01, -2.7201e-02, -9.9773e+00, -5.1286e-03
6.95854829e+01, -5.5753e+01, -2.2060e-01, -9.9767e+00, -5.0299e-03
7.75823182e+01, -5.5793e+01, 5.2135e-03, -9.9776e+00, -3.8404e-03
8.64981579e+01, -5.5833e+01, 3.9446e-02, -9.9772e+00, -5.9158e-03
9.64386151e+01, -5.5768e+01, -2.3094e-01, -9.9768e+00, -3.9615e-03
1.07521440e+02, -5.5764e+01, -8.9135e-02, -9.9764e+00, -4.5663e-03
1.19877914e+02, -5.5799e+01, 2.4205e-02, -9.9764e+00, -3.6203e-03
1.33654407e+02, -5.5802e+01, -2.5203e-01, -9.9761e+00, -6.3509e-03
1.49014109e+02, -5.5753e+01, 9.0658e-02, -9.9766e+00, -6.9331e-03
1.66138964e+02, -5.5758e+01, 3.4763e-02, -9.9768e+00, -6.3196e-03
1.85231824e+02, -5.5757e+01, -6.0377e-03, -9.9768e+00, -6.5817e-03
2.06518856e+02, -5.5772e+01, -1.0409e-01, -9.9765e+00, -7.9506e-03
2.30252215e+02, -5.5769e+01, 2.1175e-01, -9.9770e+00, -9.9463e-03
2.56713036e+02, -5.5749e+01, -8.1543e-02, -9.9771e+00, -7.6197e-03
2.86214762e+02, -5.5767e+01, -6.5786e-02, -9.9777e+00, -7.5555e-03
3.19106857e+02, -5.5783e+01, -1.7378e-01, -9.9777e+00, -6.8517e-03
3.55778945e+02, -5.5750e+01, 6.3502e-02, -9.9772e+00, -7.7072e-03
3.96665427e+02, -5.5775e+01, -7.1966e-02, -9.9772e+00, -7.8478e-03
4.42250626e+02, -5.5774e+01, 1.9721e-02, -9.9780e+00, -8.4768e-03
4.93074522e+02, -5.5779e+01, 9.6772e-02, -9.9778e+00, -9.4247e-03
5.49739153e+02, -5.5757e+01, -3.1749e-02, -9.9775e+00, -9.8897e-03
6.12915741e+02, -5.5777e+01, -3.5797e-02, -9.9775e+00, -1.0179e-02
6.83352648e+02, -5.5772e+01, -1.6844e-02, -9.9782e+00, -1.1360e-02
7.61884237e+02, -5.5778e+01, -2.2097e-02, -9.9772e+00, -1.2125e-02
8.49440757e+02, -5.5767e+01, 1.2773e-01, -9.9772e+00, -1.3494e-02
9.47059361e+02, -5.5761e+01, -7.7538e-02, -9.9772e+00, -1.4144e-02
1.05589640e+03, -5.5786e+01, 4.6089e-02, -9.9774e+00, -1.5924e-02
1.17724110e+03, -5.5768e+01, 4.8232e-02, -9.9770e+00, -1.6856e-02
1.31253085e+03, -5.5782e+01, -1.3063e-01, -9.9775e+00, -1.8503e-02
1.46336825e+03, -5.5774e+01, -1.3582e-01, -9.9780e+00, -2.0288e-02
1.63154003e+03, -5.5780e+01, -5.6853e-02, -9.9767e+00, -2.2682e-02
1.81903829e+03, -5.5774e+01, 7.9923e-03, -9.9767e+00, -2.5276e-02
2.02808404e+03, -5.5780e+01, -6.8769e-02, -9.9771e+00, -2.8009e-02
2.26115354e+03, -5.5772e+01, -4.0160e-02, -9.9768e+00, -3.0985e-02
2.52100763e+03, -5.5777e+01, -1.3871e-01, -9.9774e+00, -3.4239e-02
2.81072441e+03, -5.5769e+01, -5.0664e-02, -9.9767e+00, -3.8345e-02
3.13373575e+03, -5.5767e+01, 2.9053e-02, -9.9764e+00, -4.2779e-02
3.49386789e+03, -5.5765e+01, -5.9240e-02, -9.9764e+00, -4.8179e-02
3.89538678e+03, -5.5769e+01, 1.2663e-02, -9.9767e+00, -5.3704e-02
4.34304863e+03, -5.5781e+01, -9.2363e-02, -9.9765e+00, -6.0213e-02
4.84215624e+03, -5.5775e+01, -8.7648e-02, -9.9754e+00, -6.7147e-02
5.39862181e+03, -5.5771e+01, -1.2521e-01, -9.9754e+00, -7.4330e-02
6.01903698e+03, -5.5766e+01, -5.3100e-02, -9.9757e+00, -8.2615e-02
6.71075089e+03, -5.5766e+01, -9.0378e-02, -9.9753e+00, -9.1912e-02
7.48195728e+03, -5.5770e+01, -7.9560e-02, -9.9751e+00, -1.0252e-01
8.34179151e+03, -5.5774e+01, -5.7380e-02, -9.9750e+00, -1.1503e-01
9.30043876e+03, -5.5779e+01, -1.1034e-01, -9.9746e+00, -1.2892e-01
1.03692547e+04, -5.5773e+01, -1.3284e-01, -9.9743e+00, -1.4544e-01
1.15609002e+04, -5.5777e+01, -1.3165e-01, -9.9734e+00, -1.6434e-01
1.28894907e+04, -5.5772e+01, -1.5101e-01, -9.9723e+00, -1.8574e-01
1.43707642e+04, -5.5770e+01, -1.4511e-01, -9.9716e+00, -2.1000e-01
1.60222672e+04, -5.5772e+01, -1.9992e-01, -9.9709e+00, -2.3732e-01
1.78635626e+04, -5.5766e+01, -2.0137e-01, -9.9701e+00, -2.6864e-01
1.99164616e+04, -5.5768e+01, -1.7007e-01, -9.9690e+00, -3.0406e-01
2.22052818e+04, -5.5767e+01, -2.2693e-01, -9.9683e+00, -3.4423e-01
2.47571356e+04, -5.5777e+01, -2.6369e-01, -9.9672e+00, -3.8943e-01
2.76022511e+04, -5.5768e+01, -2.7357e-01, -9.9663e+00, -4.4092e-01
3.07743302e+04, -5.5762e+01, -3.0500e-01, -9.9653e+00, -4.9968e-01
3.43109478e+04, -5.5760e+01, -3.5947e-01, -9.9633e+00, -5.6528e-01
3.82539972e+04, -5.5757e+01, -4.4840e-01, -9.9617e+00, -6.3984e-01
4.26501859e+04, -5.5754e+01, -5.1957e-01, -9.9610e+00, -7.2352e-01
4.75515891e+04, -5.5749e+01, -6.0166e-01, -9.9596e+00, -8.1773e-01
5.30162665e+04, -5.5743e+01, -6.8299e-01, -9.9587e+00, -9.2342e-01
5.91089504e+04, -5.5739e+01, -7.9678e-01, -9.9576e+00, -1.0419e+00
6.59018117e+04, -5.5742e+01, -9.3354e-01, -9.9567e+00, -1.1742e+00
7.34753157e+04, -5.5734e+01, -1.0401e+00, -9.9562e+00, -1.3219e+00
8.19191744e+04, -5.5737e+01, -1.1963e+00, -9.9547e+00, -1.4866e+00
9.13334102e+04, -5.5732e+01, -1.3606e+00, -9.9542e+00, -1.6697e+00
1.01829540e+05, -5.5726e+01, -1.5404e+00, -9.9541e+00, -1.8729e+00
1.13531895e+05, -5.5743e+01, -1.7296e+00, -9.9537e+00, -2.0984e+00
1.26579097e+05, -5.5748e+01, -1.9526e+00, -9.9541e+00, -2.3488e+00
1.41125697e+05, -5.5735e+01, -2.2133e+00, -9.9545e+00, -2.6263e+00
1.57344007e+05, -5.5754e+01, -2.4868e+00, -9.9540e+00, -2.9340e+00
1.75426142e+05, -5.5734e+01, -2.8304e+00, -9.9557e+00, -3.2757e+00
1.95586295e+05, -5.5747e+01, -3.1363e+00, -9.9561e+00, -3.6548e+00
2.18063272e+05, -5.5721e+01, -3.5461e+00, -9.9567e+00, -4.0759e+00
2.43123328e+05, -5.5725e+01, -3.9655e+00, -9.9576e+00, -4.5440e+00
2.71063311e+05, -5.5725e+01, -4.4577e+00, -9.9588e+00, -5.0650e+00
3.02214185e+05, -5.5730e+01, -4.9895e+00, -9.9594e+00, -5.6447e+00
3.36944950e+05, -5.5725e+01, -5.5838e+00, -9.9601e+00, -6.2902e+00
3.75667010e+05, -5.5718e+01, -6.2508e+00, -9.9613e+00, -7.0091e+00
4.18839048e+05, -5.5716e+01, -7.0001e+00, -9.9624e+00, -7.8103e+00
4.66972462e+05, -5.5717e+01, -7.8161e+00, -9.9638e+00, -8.7029e+00
5.20637418e+05, -5.5719e+01, -8.7430e+00, -9.9646e+00, -9.6978e+00
5.80469605e+05, -5.5709e+01, -9.7719e+00, -9.9656e+00, -1.0807e+01
6.47177768e+05, -5.5703e+01, -1.0903e+01, -9.9665e+00, -1.2042e+01
7.21552103e+05, -5.5706e+01, -1.2181e+01, -9.9669e+00, -1.3420e+01
8.04473612e+05, -5.5696e+01, -1.3597e+01, -9.9683e+00, -1.4955e+01
8.96924546e+05, -5.5705e+01, -1.5183e+01, -9.9697e+00, -1.6666e+01
1.00000004e+06, -5.5694e+01, -1.6947e+01, -9.9706e+00, -1.8573e+01
