% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 100 ms, 4 cycles; Settling time 1.00 s, 5 cycles
% Internal 10 MHz clock
% Acquired 2026-05-13 T 16:44:19 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -5.5729e+01, -1.6960e+01, -9.9697e+00, -1.8575e+01
8.96924538e+05, -5.5726e+01, -1.5181e+01, -9.9686e+00, -1.6668e+01
8.04473626e+05, -5.5766e+01, -1.3579e+01, -9.9674e+00, -1.4956e+01
7.21552135e+05, -5.5769e+01, -1.2165e+01, -9.9658e+00, -1.3421e+01
6.47177815e+05, -5.5780e+01, -1.0898e+01, -9.9661e+00, -1.2044e+01
5.80469663e+05, -5.5723e+01, -9.7567e+00, -9.9647e+00, -1.0808e+01
5.20637484e+05, -5.5730e+01, -8.7351e+00, -9.9633e+00, -9.6991e+00
4.66972534e+05, -5.5729e+01, -7.8170e+00, -9.9630e+00, -8.7043e+00
4.18839124e+05, -5.5742e+01, -6.9794e+00, -9.9619e+00, -7.8115e+00
3.75667088e+05, -5.5732e+01, -6.2388e+00, -9.9614e+00, -7.0104e+00
3.36945029e+05, -5.5739e+01, -5.5718e+00, -9.9596e+00, -6.2912e+00
3.02214265e+05, -5.5738e+01, -4.9766e+00, -9.9588e+00, -5.6458e+00
2.71063389e+05, -5.5744e+01, -4.4401e+00, -9.9589e+00, -5.0659e+00
2.43123405e+05, -5.5736e+01, -3.9611e+00, -9.9578e+00, -4.5451e+00
2.18063348e+05, -5.5750e+01, -3.5282e+00, -9.9566e+00, -4.0767e+00
1.95586367e+05, -5.5743e+01, -3.1449e+00, -9.9551e+00, -3.6555e+00
1.75426212e+05, -5.5757e+01, -2.7908e+00, -9.9549e+00, -3.2762e+00
1.57344074e+05, -5.5759e+01, -2.4846e+00, -9.9549e+00, -2.9347e+00
1.41125761e+05, -5.5758e+01, -2.2025e+00, -9.9541e+00, -2.6269e+00
1.26579158e+05, -5.5754e+01, -1.9368e+00, -9.9532e+00, -2.3492e+00
1.13531953e+05, -5.5765e+01, -1.7199e+00, -9.9530e+00, -2.0988e+00
1.01829594e+05, -5.5779e+01, -1.5112e+00, -9.9529e+00, -1.8730e+00
9.13334617e+04, -5.5777e+01, -1.3407e+00, -9.9526e+00, -1.6698e+00
8.19192229e+04, -5.5785e+01, -1.1794e+00, -9.9536e+00, -1.4866e+00
7.34753611e+04, -5.5789e+01, -1.0145e+00, -9.9545e+00, -1.3220e+00
6.59018543e+04, -5.5787e+01, -8.8525e-01, -9.9554e+00, -1.1742e+00
5.91089902e+04, -5.5794e+01, -7.5787e-01, -9.9572e+00, -1.0417e+00
