% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 100 ms, 1 cycles; Settling time 100 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-13 T 15:18:58 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -5.5805e+01, -1.7007e+01, -9.9747e+00, -1.8618e+01
8.96924538e+05, -5.5794e+01, -1.5233e+01, -9.9735e+00, -1.6709e+01
8.04473626e+05, -5.5782e+01, -1.3653e+01, -9.9715e+00, -1.4995e+01
7.21552135e+05, -5.5787e+01, -1.2222e+01, -9.9699e+00, -1.3458e+01
6.47177815e+05, -5.5794e+01, -1.0952e+01, -9.9684e+00, -1.2078e+01
5.80469663e+05, -5.5783e+01, -9.8038e+00, -9.9671e+00, -1.0840e+01
5.20637484e+05, -5.5786e+01, -8.7854e+00, -9.9662e+00, -9.7289e+00
4.66972534e+05, -5.5789e+01, -7.8654e+00, -9.9641e+00, -8.7315e+00
4.18839124e+05, -5.5804e+01, -7.0352e+00, -9.9635e+00, -7.8360e+00
3.75667088e+05, -5.5815e+01, -6.3017e+00, -9.9619e+00, -7.0320e+00
3.36945029e+05, -5.5820e+01, -5.6388e+00, -9.9614e+00, -6.3103e+00
3.02214265e+05, -5.5822e+01, -5.0150e+00, -9.9606e+00, -5.6620e+00
2.71063389e+05, -5.5827e+01, -4.5076e+00, -9.9592e+00, -5.0797e+00
2.43123405e+05, -5.5847e+01, -4.0209e+00, -9.9585e+00, -4.5563e+00
2.18063348e+05, -5.5845e+01, -3.5893e+00, -9.9579e+00, -4.0857e+00
1.95586367e+05, -5.5852e+01, -3.2040e+00, -9.9569e+00, -3.6624e+00
1.75426212e+05, -5.5850e+01, -2.8643e+00, -9.9565e+00, -3.2816e+00
1.57344074e+05, -5.5829e+01, -2.5554e+00, -9.9558e+00, -2.9388e+00
1.41125761e+05, -5.5866e+01, -2.2692e+00, -9.9551e+00, -2.6300e+00
1.26579158e+05, -5.5835e+01, -1.9999e+00, -9.9544e+00, -2.3517e+00
1.13531953e+05, -5.5837e+01, -1.7771e+00, -9.9544e+00, -2.1009e+00
1.01829594e+05, -5.5806e+01, -1.5641e+00, -9.9541e+00, -1.8750e+00
9.13334617e+04, -5.5837e+01, -1.4049e+00, -9.9552e+00, -1.6716e+00
8.19192229e+04, -5.5792e+01, -1.2215e+00, -9.9564e+00, -1.4884e+00
7.34753611e+04, -5.5767e+01, -1.1100e+00, -9.9560e+00, -1.3240e+00
6.59018543e+04, -5.5750e+01, -9.6743e-01, -9.9571e+00, -1.1763e+00
5.91089902e+04, -5.5759e+01, -8.5218e-01, -9.9586e+00, -1.0441e+00
5.30163037e+04, -5.5765e+01, -7.5547e-01, -9.9589e+00, -9.2563e-01
4.75516237e+04, -5.5768e+01, -6.5200e-01, -9.9603e+00, -8.1987e-01
4.26502181e+04, -5.5767e+01, -5.7668e-01, -9.9615e+00, -7.2584e-01
3.82540271e+04, -5.5772e+01, -5.1190e-01, -9.9626e+00, -6.4185e-01
3.43109756e+04, -5.5774e+01, -4.3278e-01, -9.9638e+00, -5.6753e-01
3.07743559e+04, -5.5779e+01, -3.5074e-01, -9.9661e+00, -5.0158e-01
2.76022750e+04, -5.5783e+01, -3.6310e-01, -9.9664e+00, -4.4290e-01
2.47571577e+04, -5.5788e+01, -2.8503e-01, -9.9680e+00, -3.9131e-01
2.22053022e+04, -5.5778e+01, -2.2361e-01, -9.9687e+00, -3.4573e-01
1.99164804e+04, -5.5782e+01, -2.2951e-01, -9.9700e+00, -3.0526e-01
1.78635800e+04, -5.5784e+01, -1.8309e-01, -9.9706e+00, -2.6983e-01
1.60222832e+04, -5.5785e+01, -1.3308e-01, -9.9711e+00, -2.3846e-01
1.43707790e+04, -5.5796e+01, -1.7172e-01, -9.9730e+00, -2.1068e-01
1.28895043e+04, -5.5789e+01, -1.4124e-01, -9.9728e+00, -1.8638e-01
1.15609127e+04, -5.5787e+01, -1.0317e-01, -9.9731e+00, -1.6485e-01
1.03692663e+04, -5.5786e+01, -8.9286e-02, -9.9742e+00, -1.4592e-01
9.30044934e+03, -5.5789e+01, -7.5178e-02, -9.9746e+00, -1.2959e-01
8.34180123e+03, -5.5786e+01, -8.0026e-02, -9.9755e+00, -1.1497e-01
7.48196621e+03, -5.5795e+01, -9.8342e-02, -9.9756e+00, -1.0289e-01
6.71075908e+03, -5.5788e+01, -1.3278e-01, -9.9757e+00, -9.1936e-02
6.01904449e+03, -5.5796e+01, -3.9163e-02, -9.9761e+00, -8.2910e-02
5.39862869e+03, -5.5799e+01, 2.1173e-02, -9.9768e+00, -7.4343e-02
4.84216254e+03, -5.5792e+01, -8.9197e-02, -9.9761e+00, -6.7074e-02
4.34305440e+03, -5.5784e+01, -3.3848e-02, -9.9765e+00, -5.9728e-02
3.89539206e+03, -5.5791e+01, -5.8738e-02, -9.9765e+00, -5.3449e-02
3.49387272e+03, -5.5792e+01, -5.7292e-02, -9.9765e+00, -4.7602e-02
3.13374018e+03, -5.5798e+01, -9.5963e-02, -9.9767e+00, -4.2796e-02
2.81072846e+03, -5.5794e+01, 2.9113e-03, -9.9774e+00, -3.8403e-02
2.52101132e+03, -5.5793e+01, -8.8926e-02, -9.9776e+00, -3.4668e-02
2.26115691e+03, -5.5793e+01, -9.5057e-02, -9.9771e+00, -3.1020e-02
2.02808712e+03, -5.5819e+01, -5.1513e-02, -9.9773e+00, -2.7833e-02
1.81904110e+03, -5.5805e+01, 1.1154e-02, -9.9776e+00, -2.3996e-02
1.63154260e+03, -5.5781e+01, 1.1556e-02, -9.9777e+00, -2.1677e-02
1.46337059e+03, -5.5798e+01, -3.2691e-02, -9.9770e+00, -2.0987e-02
1.31253299e+03, -5.5789e+01, 5.6094e-02, -9.9771e+00, -1.8440e-02
1.17724305e+03, -5.5795e+01, -6.9031e-02, -9.9774e+00, -1.6823e-02
1.05589818e+03, -5.5795e+01, -2.2896e-02, -9.9773e+00, -1.5958e-02
9.47060982e+02, -5.5782e+01, 2.4359e-02, -9.9771e+00, -1.4329e-02
8.49442234e+02, -5.5802e+01, -3.5177e-02, -9.9774e+00, -1.2933e-02
7.61885583e+02, -5.5771e+01, 4.6263e-02, -9.9770e+00, -1.2649e-02
