% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 100 ms, 1 cycles; Settling time 100 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-12 T 18:51:05 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -4.9797e+01, -1.8055e+01, -9.9320e+00, -1.8144e+01
8.96924538e+05, -4.9799e+01, -1.6183e+01, -9.9268e+00, -1.6276e+01
8.04473626e+05, -4.9799e+01, -1.4498e+01, -9.9222e+00, -1.4600e+01
7.21552135e+05, -4.9798e+01, -1.2988e+01, -9.9185e+00, -1.3093e+01
6.47177815e+05, -4.9797e+01, -1.1624e+01, -9.9158e+00, -1.1740e+01
5.80469663e+05, -4.9801e+01, -1.0411e+01, -9.9132e+00, -1.0525e+01
5.20637484e+05, -4.9801e+01, -9.3271e+00, -9.9109e+00, -9.4333e+00
4.66972534e+05, -4.9804e+01, -8.3371e+00, -9.9097e+00, -8.4526e+00
4.18839124e+05, -4.9804e+01, -7.4611e+00, -9.9089e+00, -7.5715e+00
3.75667088e+05, -4.9804e+01, -6.6716e+00, -9.9077e+00, -6.7797e+00
3.36945029e+05, -4.9808e+01, -5.9633e+00, -9.9080e+00, -6.0685e+00
3.02214265e+05, -4.9811e+01, -5.3169e+00, -9.9075e+00, -5.4292e+00
2.71063389e+05, -4.9813e+01, -4.7473e+00, -9.9077e+00, -4.8549e+00
2.43123405e+05, -4.9813e+01, -4.2456e+00, -9.9083e+00, -4.3387e+00
2.18063348e+05, -4.9814e+01, -3.7787e+00, -9.9095e+00, -3.8752e+00
1.95586367e+05, -4.9817e+01, -3.3658e+00, -9.9104e+00, -3.4588e+00
1.75426212e+05, -4.9818e+01, -2.9921e+00, -9.9113e+00, -3.0848e+00
1.57344074e+05, -4.9822e+01, -2.6578e+00, -9.9127e+00, -2.7489e+00
1.41125761e+05, -4.9823e+01, -2.3534e+00, -9.9142e+00, -2.4475e+00
1.26579158e+05, -4.9827e+01, -2.0886e+00, -9.9164e+00, -2.1772e+00
1.13531953e+05, -4.9828e+01, -1.8451e+00, -9.9177e+00, -1.9350e+00
1.01829594e+05, -4.9831e+01, -1.6333e+00, -9.9205e+00, -1.7178e+00
9.13334617e+04, -4.9832e+01, -1.4433e+00, -9.9220e+00, -1.5235e+00
8.19192229e+04, -4.9837e+01, -1.2739e+00, -9.9235e+00, -1.3497e+00
7.34753611e+04, -4.9839e+01, -1.1145e+00, -9.9256e+00, -1.1946e+00
6.59018543e+04, -4.9842e+01, -9.7860e-01, -9.9279e+00, -1.0563e+00
5.91089902e+04, -4.9846e+01, -8.6163e-01, -9.9301e+00, -9.3300e-01
5.30163037e+04, -4.9847e+01, -7.5372e-01, -9.9322e+00, -8.2355e-01
4.75516237e+04, -4.9850e+01, -6.5419e-01, -9.9339e+00, -7.2639e-01
4.26502181e+04, -4.9852e+01, -5.7748e-01, -9.9354e+00, -6.3993e-01
3.82540271e+04, -4.9856e+01, -5.0575e-01, -9.9371e+00, -5.6379e-01
3.43109756e+04, -4.9857e+01, -4.3129e-01, -9.9388e+00, -4.9605e-01
3.07743559e+04, -4.9857e+01, -3.9228e-01, -9.9407e+00, -4.3653e-01
2.76022750e+04, -4.9859e+01, -3.4518e-01, -9.9423e+00, -3.8410e-01
2.47571577e+04, -4.9863e+01, -3.1544e-01, -9.9437e+00, -3.3782e-01
2.22053022e+04, -4.9864e+01, -2.6390e-01, -9.9449e+00, -2.9708e-01
1.99164804e+04, -4.9867e+01, -2.2958e-01, -9.9461e+00, -2.6158e-01
1.78635800e+04, -4.9869e+01, -1.9904e-01, -9.9476e+00, -2.2977e-01
1.60222832e+04, -4.9869e+01, -1.7484e-01, -9.9486e+00, -2.0250e-01
1.43707790e+04, -4.9872e+01, -1.6550e-01, -9.9486e+00, -1.7816e-01
1.28895043e+04, -4.9873e+01, -1.5595e-01, -9.9494e+00, -1.5677e-01
1.15609127e+04, -4.9870e+01, -8.8735e-02, -9.9505e+00, -1.3807e-01
1.03692663e+04, -4.9867e+01, -1.1536e-01, -9.9512e+00, -1.2149e-01
9.30044934e+03, -4.9873e+01, -1.3263e-01, -9.9514e+00, -1.0738e-01
8.34180123e+03, -4.9871e+01, -8.3669e-02, -9.9524e+00, -9.5215e-02
