% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 1 MOhm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.002305 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 50 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-15 T 16:40:52 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00230524e+06, -4.9951e+01, -1.8448e+01, -3.9305e+00, -1.8318e+01
8.98975863e+05, -4.9961e+01, -1.6517e+01, -3.9294e+00, -1.6419e+01
8.06298891e+05, -4.9952e+01, -1.4806e+01, -3.9295e+00, -1.4715e+01
7.23176148e+05, -4.9952e+01, -1.3253e+01, -3.9280e+00, -1.3186e+01
6.48622672e+05, -4.9946e+01, -1.1860e+01, -3.9292e+00, -1.1814e+01
5.81755043e+05, -4.9955e+01, -1.0607e+01, -3.9299e+00, -1.0582e+01
5.21780912e+05, -4.9959e+01, -9.5582e+00, -3.9303e+00, -9.4775e+00
4.67989618e+05, -4.9954e+01, -8.5318e+00, -3.9319e+00, -8.4856e+00
4.19743762e+05, -4.9955e+01, -7.6752e+00, -3.9315e+00, -7.5950e+00
3.76471653e+05, -4.9959e+01, -6.8538e+00, -3.9326e+00, -6.7976e+00
3.37660542e+05, -4.9961e+01, -6.1432e+00, -3.9341e+00, -6.0783e+00
3.02850534e+05, -4.9952e+01, -5.4259e+00, -3.9350e+00, -5.4353e+00
2.71629150e+05, -4.9961e+01, -4.8340e+00, -3.9360e+00, -4.8568e+00
2.43626433e+05, -4.9969e+01, -4.3464e+00, -3.9363e+00, -4.3380e+00
2.18510564e+05, -4.9965e+01, -3.7915e+00, -3.9381e+00, -3.8720e+00
1.95983933e+05, -4.9967e+01, -3.4040e+00, -3.9398e+00, -3.4545e+00
1.75779612e+05, -4.9966e+01, -3.1126e+00, -3.9415e+00, -3.0800e+00
1.57658188e+05, -4.9956e+01, -2.7664e+00, -3.9438e+00, -2.7432e+00
1.41404934e+05, -4.9979e+01, -2.4277e+00, -3.9445e+00, -2.4408e+00
