% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 700 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 1.00 ms, 30 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-27 T 17:39:26 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -8.1943e-01, 5.2131e+00, 3.6172e-01, -2.5910e+00
8.96924538e+05, -8.4818e-01, 5.6941e+00, 3.8053e-01, -2.7631e+00
8.04473626e+05, -8.8124e-01, 6.2039e+00, 4.0084e-01, -2.9460e+00
7.21552135e+05, -9.1712e-01, 6.7568e+00, 4.2514e-01, -3.1413e+00
6.47177815e+05, -9.5897e-01, 7.3531e+00, 4.5114e-01, -3.3524e+00
5.80469663e+05, -1.0065e+00, 8.0021e+00, 4.7919e-01, -3.5783e+00
5.20637484e+05, -1.0584e+00, 8.7061e+00, 5.1210e-01, -3.8204e+00
4.66972534e+05, -1.1163e+00, 9.4728e+00, 5.4660e-01, -4.0759e+00
4.18839124e+05, -1.1827e+00, 1.0302e+01, 5.8602e-01, -4.3468e+00
3.75667088e+05, -1.2581e+00, 1.1208e+01, 6.3259e-01, -4.6237e+00
3.36945029e+05, -1.3411e+00, 1.2170e+01, 6.8156e-01, -4.9279e+00
3.02214265e+05, -1.4367e+00, 1.3214e+01, 7.3714e-01, -5.2284e+00
2.71063389e+05, -1.5476e+00, 1.4333e+01, 7.9852e-01, -5.5295e+00
2.43123405e+05, -1.6736e+00, 1.5524e+01, 8.6723e-01, -5.8288e+00
2.18063348e+05, -1.8182e+00, 1.6781e+01, 9.4279e-01, -6.1167e+00
1.95586367e+05, -1.9839e+00, 1.8102e+01, 1.0261e+00, -6.3848e+00
1.75426212e+05, -2.1694e+00, 1.9469e+01, 1.1180e+00, -6.6236e+00
1.57344074e+05, -2.3819e+00, 2.0873e+01, 1.2137e+00, -6.8260e+00
1.41125761e+05, -2.6202e+00, 2.2295e+01, 1.3140e+00, -6.9800e+00
1.26579158e+05, -2.8867e+00, 2.3709e+01, 1.4196e+00, -7.0822e+00
1.13531953e+05, -3.1819e+00, 2.5090e+01, 1.5261e+00, -7.1251e+00
1.01829594e+05, -3.5037e+00, 2.6411e+01, 1.6360e+00, -7.1080e+00
9.13334617e+04, -3.8522e+00, 2.7643e+01, 1.7420e+00, -7.0290e+00
8.19192229e+04, -4.2290e+00, 2.8758e+01, 1.8458e+00, -6.8935e+00
7.34753611e+04, -4.6273e+00, 2.9726e+01, 1.9441e+00, -6.7055e+00
6.59018543e+04, -5.0454e+00, 3.0525e+01, 2.0357e+00, -6.4739e+00
5.91089902e+04, -5.4769e+00, 3.1139e+01, 2.1223e+00, -6.2065e+00
5.30163037e+04, -5.9173e+00, 3.1552e+01, 2.2014e+00, -5.9125e+00
4.75516237e+04, -6.3639e+00, 3.1754e+01, 2.2721e+00, -5.6017e+00
4.26502181e+04, -6.8076e+00, 3.1745e+01, 2.3347e+00, -5.2802e+00
3.82540271e+04, -7.2443e+00, 3.1530e+01, 2.3915e+00, -4.9568e+00
3.43109756e+04, -7.6680e+00, 3.1122e+01, 2.4409e+00, -4.6369e+00
3.07743559e+04, -8.0766e+00, 3.0536e+01, 2.4829e+00, -4.3282e+00
2.76022750e+04, -8.4661e+00, 2.9807e+01, 2.5227e+00, -4.0287e+00
2.47571577e+04, -8.8335e+00, 2.8956e+01, 2.5536e+00, -3.7470e+00
2.22053022e+04, -9.1791e+00, 2.8019e+01, 2.5822e+00, -3.4827e+00
1.99164804e+04, -9.5016e+00, 2.7021e+01, 2.6070e+00, -3.2349e+00
1.78635800e+04, -9.7960e+00, 2.5968e+01, 2.6296e+00, -3.0060e+00
1.60222832e+04, -1.0063e+01, 2.4882e+01, 2.6464e+00, -2.7956e+00
1.43707790e+04, -1.0307e+01, 2.3806e+01, 2.6641e+00, -2.6002e+00
1.28895043e+04, -1.0535e+01, 2.2763e+01, 2.6792e+00, -2.4257e+00
1.15609127e+04, -1.0737e+01, 2.1736e+01, 2.6915e+00, -2.2650e+00
1.03692663e+04, -1.0918e+01, 2.0750e+01, 2.7042e+00, -2.1175e+00
9.30044934e+03, -1.1090e+01, 1.9837e+01, 2.7132e+00, -1.9855e+00
8.34180123e+03, -1.1239e+01, 1.8955e+01, 2.7231e+00, -1.8670e+00
7.48196621e+03, -1.1381e+01, 1.8156e+01, 2.7319e+00, -1.7600e+00
6.71075908e+03, -1.1507e+01, 1.7411e+01, 2.7392e+00, -1.6643e+00
6.01904449e+03, -1.1628e+01, 1.6736e+01, 2.7475e+00, -1.5770e+00
5.39862869e+03, -1.1734e+01, 1.6125e+01, 2.7547e+00, -1.5020e+00
4.84216254e+03, -1.1839e+01, 1.5587e+01, 2.7595e+00, -1.4345e+00
4.34305440e+03, -1.1934e+01, 1.5117e+01, 2.7668e+00, -1.3749e+00
3.89539206e+03, -1.2024e+01, 1.4715e+01, 2.7731e+00, -1.3244e+00
3.49387272e+03, -1.2110e+01, 1.4377e+01, 2.7787e+00, -1.2798e+00
3.13374018e+03, -1.2193e+01, 1.4106e+01, 2.7853e+00, -1.2410e+00
2.81072846e+03, -1.2274e+01, 1.3897e+01, 2.7906e+00, -1.2128e+00
2.52101132e+03, -1.2355e+01, 1.3750e+01, 2.7986e+00, -1.1880e+00
2.26115691e+03, -1.2434e+01, 1.3663e+01, 2.8041e+00, -1.1693e+00
2.02808712e+03, -1.2515e+01, 1.3640e+01, 2.8112e+00, -1.1539e+00
1.81904110e+03, -1.2597e+01, 1.3663e+01, 2.8177e+00, -1.1421e+00
1.63154260e+03, -1.2681e+01, 1.3748e+01, 2.8234e+00, -1.1373e+00
1.46337059e+03, -1.2767e+01, 1.3878e+01, 2.8325e+00, -1.1353e+00
1.31253299e+03, -1.2858e+01, 1.4059e+01, 2.8396e+00, -1.1346e+00
