% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 700 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring harmonic 2, delay compensation 229.0 ns (auto), normalization on
% Averaging time 1.00 ms, 30 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-27 T 17:57:44 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -6.6807e+01, -1.5237e+02, -7.6073e+01, 9.2518e+00
8.96924538e+05, -6.4656e+01, -1.3650e+02, -7.3267e+01, 3.6371e+01
8.04473626e+05, -6.2503e+01, -1.1942e+02, -6.9977e+01, 6.0615e+01
7.21552135e+05, -6.0291e+01, -1.0167e+02, -6.7093e+01, 8.1480e+01
6.47177815e+05, -5.8292e+01, -8.2910e+01, -6.4083e+01, 9.4862e+01
5.80469663e+05, -5.5858e+01, -6.5936e+01, -6.1711e+01, 1.1269e+02
5.20637484e+05, -5.3427e+01, -4.9024e+01, -5.9381e+01, 1.2893e+02
4.66972534e+05, -5.1109e+01, -3.3490e+01, -5.6961e+01, 1.4386e+02
4.18839124e+05, -4.8798e+01, -1.8482e+01, -5.4735e+01, 1.5844e+02
3.75667088e+05, -4.6533e+01, -4.2135e+00, -5.2648e+01, 1.7302e+02
3.36945029e+05, -4.4439e+01, 8.9979e+00, -5.0495e+01, 1.8647e+02
3.02214265e+05, -4.2423e+01, 2.1829e+01, -4.8430e+01, 1.9959e+02
2.71063389e+05, -4.0490e+01, 3.4123e+01, -4.6521e+01, 2.1233e+02
2.43123405e+05, -3.8670e+01, 4.6014e+01, -4.4700e+01, 2.2451e+02
2.18063348e+05, -3.6960e+01, 5.7622e+01, -4.2997e+01, 2.3614e+02
1.95586367e+05, -3.5347e+01, 6.8838e+01, -4.1422e+01, 2.4763e+02
1.75426212e+05, -3.3910e+01, 7.9730e+01, -3.9896e+01, 2.5817e+02
1.57344074e+05, -3.2526e+01, 9.0446e+01, -3.8585e+01, 2.6925e+02
1.41125761e+05, -3.1283e+01, 1.0092e+02, -3.7355e+01, 2.7981e+02
1.26579158e+05, -3.0152e+01, 1.1118e+02, -3.6242e+01, 2.9012e+02
1.13531953e+05, -2.9131e+01, 1.2125e+02, -3.5243e+01, 3.0026e+02
1.01829594e+05, -2.8212e+01, 1.3111e+02, -3.4350e+01, 3.1026e+02
9.13334617e+04, -2.7397e+01, 1.4076e+02, -3.3557e+01, 3.2003e+02
8.19192229e+04, -2.6695e+01, 1.5019e+02, -3.2864e+01, 3.2962e+02
7.34753611e+04, -2.6101e+01, 1.5939e+02, -3.2261e+01, 3.3891e+02
6.59018543e+04, -2.5586e+01, 1.6832e+02, -3.1741e+01, 3.4790e+02
5.91089902e+04, -2.5157e+01, 1.7697e+02, -3.1304e+01, 3.5664e+02
5.30163037e+04, -2.4798e+01, 1.8531e+02, -3.0940e+01, 3.6500e+02
4.75516237e+04, -2.4505e+01, 1.9327e+02, -3.0638e+01, 3.7307e+02
4.26502181e+04, -2.4272e+01, 2.0090e+02, -3.0395e+01, 3.8070e+02
3.82540271e+04, -2.4086e+01, 2.0811e+02, -3.0206e+01, 3.8791e+02
3.43109756e+04, -2.3945e+01, 2.1492e+02, -3.0058e+01, 3.9466e+02
3.07743559e+04, -2.3844e+01, 2.2130e+02, -2.9951e+01, 4.0100e+02
2.76022750e+04, -2.3776e+01, 2.2719e+02, -2.9888e+01, 4.0685e+02
2.47571577e+04, -2.3735e+01, 2.3263e+02, -2.9852e+01, 4.1229e+02
2.22053022e+04, -2.3724e+01, 2.3763e+02, -2.9836e+01, 4.1729e+02
1.99164804e+04, -2.3729e+01, 2.4219e+02, -2.9839e+01, 4.2188e+02
1.78635800e+04, -2.3749e+01, 2.4634e+02, -2.9866e+01, 4.2608e+02
1.60222832e+04, -2.3783e+01, 2.5016e+02, -2.9902e+01, 4.2987e+02
1.43707790e+04, -2.3828e+01, 2.5362e+02, -2.9949e+01, 4.3332e+02
1.28895043e+04, -2.3887e+01, 2.5676e+02, -3.0004e+01, 4.3648e+02
1.15609127e+04, -2.3946e+01, 2.5960e+02, -3.0065e+01, 4.3934e+02
1.03692663e+04, -2.4010e+01, 2.6216e+02, -3.0132e+01, 4.4188e+02
9.30044934e+03, -2.4082e+01, 2.6448e+02, -3.0199e+01, 4.4421e+02
8.34180123e+03, -2.4156e+01, 2.6661e+02, -3.0274e+01, 4.4634e+02
7.48196621e+03, -2.4231e+01, 2.6854e+02, -3.0355e+01, 4.4827e+02
6.71075908e+03, -2.4311e+01, 2.7030e+02, -3.0436e+01, 4.5003e+02
6.01904449e+03, -2.4390e+01, 2.7194e+02, -3.0510e+01, 4.5164e+02
5.39862869e+03, -2.4469e+01, 2.7342e+02, -3.0592e+01, 4.5315e+02
4.84216254e+03, -2.4552e+01, 2.7481e+02, -3.0677e+01, 4.5453e+02
4.34305440e+03, -2.4637e+01, 2.7613e+02, -3.0760e+01, 4.5584e+02
3.89539206e+03, -2.4719e+01, 2.7736e+02, -3.0849e+01, 4.5708e+02
3.49387272e+03, -2.4806e+01, 2.7854e+02, -3.0931e+01, 4.5828e+02
3.13374018e+03, -2.4893e+01, 2.7968e+02, -3.1024e+01, 4.5941e+02
2.81072846e+03, -2.4981e+01, 2.8081e+02, -3.1108e+01, 4.6055e+02
2.52101132e+03, -2.5074e+01, 2.8191e+02, -3.1203e+01, 4.6165e+02
2.26115691e+03, -2.5167e+01, 2.8303e+02, -3.1299e+01, 4.6277e+02
2.02808712e+03, -2.5264e+01, 2.8415e+02, -3.1390e+01, 4.6388e+02
1.81904110e+03, -2.5369e+01, 2.8530e+02, -3.1493e+01, 4.6502e+02
1.63154260e+03, -2.5478e+01, 2.8646e+02, -3.1608e+01, 4.6623e+02
1.46337059e+03, -2.5595e+01, 2.8770e+02, -3.1721e+01, 4.6745e+02
1.31253299e+03, -2.5721e+01, 2.8898e+02, -3.1847e+01, 4.6874e+02
1.17724305e+03, -2.5859e+01, 2.9033e+02, -3.1981e+01, 4.7009e+02
1.05589818e+03, -2.6008e+01, 2.9174e+02, -3.2127e+01, 4.7149e+02
9.47060982e+02, -2.6171e+01, 2.9323e+02, -3.2292e+01, 4.7294e+02
8.49442234e+02, -2.6355e+01, 2.9478e+02, -3.2472e+01, 4.7449e+02
7.61885583e+02, -2.6553e+01, 2.9641e+02, -3.2669e+01, 4.7610e+02
6.83353874e+02, -2.6769e+01, 2.9811e+02, -3.2885e+01, 4.7782e+02
6.12916857e+02, -2.7010e+01, 2.9991e+02, -3.3121e+01, 4.7959e+02
5.49740169e+02, -2.7273e+01, 3.0175e+02, -3.3380e+01, 4.8143e+02
4.93075447e+02, -2.7559e+01, 3.0369e+02, -3.3666e+01, 4.8335e+02
4.42251467e+02, -2.7865e+01, 3.0571e+02, -3.3967e+01, 4.8536e+02
3.96666193e+02, -2.8194e+01, 3.0781e+02, -3.4291e+01, 4.8745e+02
3.55779641e+02, -2.8547e+01, 3.0999e+02, -3.4643e+01, 4.8959e+02
3.19107490e+02, -2.8918e+01, 3.1224e+02, -3.5015e+01, 4.9181e+02
2.86215338e+02, -2.9313e+01, 3.1458e+02, -3.5408e+01, 4.9413e+02
2.56713560e+02, -2.9729e+01, 3.1702e+02, -3.5823e+01, 4.9656e+02
2.30252691e+02, -3.0164e+01, 3.1954e+02, -3.6260e+01, 4.9908e+02
2.06519288e+02, -3.0618e+01, 3.2216e+02, -3.6711e+01, 5.0161e+02
1.85232217e+02, -3.1088e+01, 3.2489e+02, -3.7183e+01, 5.0434e+02
1.66139321e+02, -3.1586e+01, 3.2773e+02, -3.7675e+01, 5.0711e+02
1.49014434e+02, -3.2100e+01, 3.3067e+02, -3.8189e+01, 5.1001e+02
1.33654702e+02, -3.2638e+01, 3.3373e+02, -3.8727e+01, 5.1304e+02
1.19878182e+02, -3.3199e+01, 3.3689e+02, -3.9282e+01, 5.1610e+02
