% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 10 Vpp, amplitude 800 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 10 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 30 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-27 T 14:27:49 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -1.2398e+00, 1.0823e+01, 5.8808e-01, -4.5480e+00
8.96924538e+05, -1.2990e+00, 1.1876e+01, 6.2771e-01, -4.9026e+00
8.04473626e+05, -1.3682e+00, 1.3023e+01, 6.7709e-01, -5.2751e+00
7.21552135e+05, -1.4492e+00, 1.4269e+01, 7.3109e-01, -5.6610e+00
6.47177815e+05, -1.5420e+00, 1.5614e+01, 7.9403e-01, -6.0549e+00
5.80469663e+05, -1.6525e+00, 1.7066e+01, 8.6387e-01, -6.4526e+00
5.20637484e+05, -1.7811e+00, 1.8621e+01, 9.4431e-01, -6.8384e+00
4.66972534e+05, -1.9303e+00, 2.0275e+01, 1.0352e+00, -7.2073e+00
4.18839124e+05, -2.1044e+00, 2.2027e+01, 1.1332e+00, -7.5518e+00
3.75667088e+05, -2.3073e+00, 2.3868e+01, 1.2414e+00, -7.8534e+00
3.36945029e+05, -2.5395e+00, 2.5771e+01, 1.3580e+00, -8.0987e+00
3.02214265e+05, -2.8045e+00, 2.7734e+01, 1.4789e+00, -8.2845e+00
2.71063389e+05, -3.1076e+00, 2.9708e+01, 1.6078e+00, -8.3921e+00
2.43123405e+05, -3.4465e+00, 3.1683e+01, 1.7349e+00, -8.4224e+00
2.18063348e+05, -3.8219e+00, 3.3623e+01, 1.8639e+00, -8.3716e+00
1.95586367e+05, -4.2390e+00, 3.5462e+01, 1.9899e+00, -8.2317e+00
1.75426212e+05, -4.6932e+00, 3.7203e+01, 2.1107e+00, -8.0265e+00
1.57344074e+05, -5.1838e+00, 3.8795e+01, 2.2251e+00, -7.7504e+00
1.41125761e+05, -5.7067e+00, 4.0189e+01, 2.3306e+00, -7.4231e+00
1.26579158e+05, -6.2519e+00, 4.1387e+01, 2.4264e+00, -7.0580e+00
1.13531953e+05, -6.8199e+00, 4.2384e+01, 2.5148e+00, -6.6678e+00
1.01829594e+05, -7.4114e+00, 4.3101e+01, 2.5912e+00, -6.2554e+00
9.13334617e+04, -8.0098e+00, 4.3586e+01, 2.6589e+00, -5.8428e+00
8.19192229e+04, -8.6181e+00, 4.3826e+01, 2.7191e+00, -5.4340e+00
7.34753611e+04, -9.2216e+00, 4.3736e+01, 2.7706e+00, -5.0294e+00
6.59018543e+04, -9.8172e+00, 4.3434e+01, 2.8144e+00, -4.6447e+00
5.91089902e+04, -1.0398e+01, 4.2882e+01, 2.8504e+00, -4.2822e+00
5.30163037e+04, -1.0964e+01, 4.2153e+01, 2.8837e+00, -3.9338e+00
4.75516237e+04, -1.1510e+01, 4.1255e+01, 2.9109e+00, -3.6206e+00
4.26502181e+04, -1.2019e+01, 4.0075e+01, 2.9339e+00, -3.3241e+00
3.82540271e+04, -1.2502e+01, 3.8770e+01, 2.9542e+00, -3.0441e+00
3.43109756e+04, -1.2971e+01, 3.7441e+01, 2.9729e+00, -2.7954e+00
3.07743559e+04, -1.3389e+01, 3.5919e+01, 2.9878e+00, -2.5617e+00
2.76022750e+04, -1.3805e+01, 3.4550e+01, 3.0026e+00, -2.3620e+00
2.47571577e+04, -1.4182e+01, 3.3043e+01, 3.0140e+00, -2.1700e+00
2.22053022e+04, -1.4522e+01, 3.1438e+01, 3.0236e+00, -1.9938e+00
1.99164804e+04, -1.4846e+01, 2.9979e+01, 3.0335e+00, -1.8409e+00
1.78635800e+04, -1.5113e+01, 2.8393e+01, 3.0400e+00, -1.6944e+00
1.60222832e+04, -1.5420e+01, 2.7139e+01, 3.0500e+00, -1.5679e+00
1.43707790e+04, -1.5676e+01, 2.5811e+01, 3.0580e+00, -1.4456e+00
1.28895043e+04, -1.5885e+01, 2.4395e+01, 3.0627e+00, -1.3418e+00
1.15609127e+04, -1.6095e+01, 2.3173e+01, 3.0699e+00, -1.2521e+00
1.03692663e+04, -1.6311e+01, 2.2064e+01, 3.0752e+00, -1.1663e+00
9.30044934e+03, -1.6489e+01, 2.0969e+01, 3.0804e+00, -1.0811e+00
8.34180123e+03, -1.6628e+01, 1.9820e+01, 3.0837e+00, -1.0166e+00
7.48196621e+03, -1.6790e+01, 1.8915e+01, 3.0900e+00, -9.4815e-01
6.71075908e+03, -1.6934e+01, 1.7993e+01, 3.0966e+00, -8.8671e-01
6.01904449e+03, -1.7064e+01, 1.7238e+01, 3.1002e+00, -8.3284e-01
5.39862869e+03, -1.7201e+01, 1.6434e+01, 3.1025e+00, -7.7985e-01
4.84216254e+03, -1.7339e+01, 1.5730e+01, 3.1079e+00, -7.4818e-01
4.34305440e+03, -1.7448e+01, 1.5116e+01, 3.1095e+00, -7.0184e-01
3.89539206e+03, -1.7558e+01, 1.4439e+01, 3.1155e+00, -6.6854e-01
3.49387272e+03, -1.7705e+01, 1.3970e+01, 3.1211e+00, -6.2804e-01
3.13374018e+03, -1.7785e+01, 1.3407e+01, 3.1227e+00, -5.9797e-01
2.81072846e+03, -1.7905e+01, 1.2914e+01, 3.1297e+00, -5.7849e-01
2.52101132e+03, -1.8011e+01, 1.2461e+01, 3.1315e+00, -5.3466e-01
2.26115691e+03, -1.8122e+01, 1.2058e+01, 3.1334e+00, -5.2069e-01
2.02808712e+03, -1.8229e+01, 1.1635e+01, 3.1407e+00, -5.0157e-01
1.81904110e+03, -1.8326e+01, 1.1198e+01, 3.1417e+00, -4.6990e-01
1.63154260e+03, -1.8431e+01, 1.0853e+01, 3.1456e+00, -4.4904e-01
1.46337059e+03, -1.8531e+01, 1.0461e+01, 3.1501e+00, -4.4111e-01
1.31253299e+03, -1.8592e+01, 1.0052e+01, 3.1480e+00, -4.0742e-01
1.17724305e+03, -1.8743e+01, 9.7513e+00, 3.1591e+00, -3.8575e-01
1.05589818e+03, -1.8841e+01, 9.3785e+00, 3.1611e+00, -3.6952e-01
9.47060982e+02, -1.8893e+01, 8.9391e+00, 3.1646e+00, -3.4496e-01
