% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 800 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring harmonic 2, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 1 cycles; Settling time 1.00 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-27 T 14:36:43 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -6.1063e+01, 1.0410e+02, -6.3908e+01, -5.3909e+01
8.96924538e+05, -5.8382e+01, 1.2351e+02, -6.1837e+01, -4.1868e+01
8.04473626e+05, -5.5686e+01, 1.4169e+02, -5.9822e+01, -2.9088e+01
7.21552135e+05, -5.3207e+01, 1.5888e+02, -5.7634e+01, -1.5754e+01
6.47177815e+05, -5.0772e+01, 1.7505e+02, -5.5556e+01, -2.0093e+00
5.80469663e+05, -4.8504e+01, 1.9052e+02, -5.3435e+01, 1.1781e+01
5.20637484e+05, -4.6346e+01, 2.0563e+02, -5.1470e+01, 2.5161e+01
4.66972534e+05, -4.4339e+01, 2.2022e+02, -4.9625e+01, 3.8840e+01
4.18839124e+05, -4.2443e+01, 2.3443e+02, -4.7955e+01, 5.2343e+01
3.75667088e+05, -4.0694e+01, 2.4833e+02, -4.6404e+01, 6.6253e+01
3.36945029e+05, -3.9090e+01, 2.6190e+02, -4.4979e+01, 7.9874e+01
3.02214265e+05, -3.7619e+01, 2.7519e+02, -4.3613e+01, 9.3433e+01
2.71063389e+05, -3.6302e+01, 2.8821e+02, -4.2354e+01, 1.0685e+02
2.43123405e+05, -3.5125e+01, 3.0093e+02, -4.1206e+01, 1.1984e+02
2.18063348e+05, -3.4084e+01, 3.1333e+02, -4.0176e+01, 1.3236e+02
1.95586367e+05, -3.3194e+01, 3.2546e+02, -3.9291e+01, 1.4451e+02
1.75426212e+05, -3.2414e+01, 3.3717e+02, -3.8510e+01, 1.5643e+02
1.57344074e+05, -3.1750e+01, 3.4843e+02, -3.7886e+01, 1.6775e+02
1.41125761e+05, -3.1234e+01, 3.5925e+02, -3.7375e+01, 1.7861e+02
1.26579158e+05, -3.0876e+01, 3.6973e+02, -3.6993e+01, 1.8900e+02
1.13531953e+05, -3.0611e+01, 3.7970e+02, -3.6715e+01, 1.9880e+02
1.01829594e+05, -3.0438e+01, 3.8910e+02, -3.6553e+01, 2.0814e+02
9.13334617e+04, -3.0335e+01, 3.9784e+02, -3.6464e+01, 2.1685e+02
8.19192229e+04, -3.0326e+01, 4.0603e+02, -3.6463e+01, 2.2506e+02
7.34753611e+04, -3.0383e+01, 4.1356e+02, -3.6528e+01, 2.3266e+02
6.59018543e+04, -3.0497e+01, 4.2048e+02, -3.6652e+01, 2.3962e+02
5.91089902e+04, -3.0676e+01, 4.2684e+02, -3.6843e+01, 2.4603e+02
5.30163037e+04, -3.0887e+01, 4.3252e+02, -3.7063e+01, 2.5176e+02
4.75516237e+04, -3.1122e+01, 4.3763e+02, -3.7304e+01, 2.5693e+02
