% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 30 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-22 T 13:51:26 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -1.8067e+01, 9.3197e+00, -1.2492e+01, -3.3670e+00
8.96924538e+05, -1.8103e+01, 9.9398e+00, -1.2476e+01, -3.4013e+00
8.04473626e+05, -1.8147e+01, 1.0626e+01, -1.2457e+01, -3.4590e+00
7.21552135e+05, -1.8190e+01, 1.1445e+01, -1.2438e+01, -3.5571e+00
6.47177815e+05, -1.8239e+01, 1.2371e+01, -1.2417e+01, -3.6694e+00
5.80469663e+05, -1.8299e+01, 1.3400e+01, -1.2393e+01, -3.8772e+00
5.20637484e+05, -1.8366e+01, 1.4563e+01, -1.2363e+01, -4.0631e+00
4.66972534e+05, -1.8445e+01, 1.5856e+01, -1.2329e+01, -4.2765e+00
4.18839124e+05, -1.8539e+01, 1.7279e+01, -1.2291e+01, -4.5087e+00
3.75667088e+05, -1.8648e+01, 1.8837e+01, -1.2246e+01, -4.7534e+00
3.36945029e+05, -1.8780e+01, 2.0509e+01, -1.2193e+01, -5.0018e+00
3.02214265e+05, -1.8936e+01, 2.2313e+01, -1.2132e+01, -5.2414e+00
2.71063389e+05, -1.9118e+01, 2.4236e+01, -1.2066e+01, -5.4720e+00
2.43123405e+05, -1.9331e+01, 2.6267e+01, -1.1992e+01, -5.6777e+00
2.18063348e+05, -1.9576e+01, 2.8396e+01, -1.1912e+01, -5.8498e+00
1.95586367e+05, -1.9856e+01, 3.0595e+01, -1.1825e+01, -5.9808e+00
1.75426212e+05, -2.0176e+01, 3.2845e+01, -1.1736e+01, -6.0624e+00
1.57344074e+05, -2.0537e+01, 3.5115e+01, -1.1644e+01, -6.0909e+00
1.41125761e+05, -2.0937e+01, 3.7377e+01, -1.1552e+01, -6.0610e+00
1.26579158e+05, -2.1381e+01, 3.9594e+01, -1.1461e+01, -5.9759e+00
1.13531953e+05, -2.1865e+01, 4.1734e+01, -1.1373e+01, -5.8378e+00
1.01829594e+05, -2.2387e+01, 4.3767e+01, -1.1289e+01, -5.6535e+00
9.13334617e+04, -2.2943e+01, 4.5660e+01, -1.1210e+01, -5.4296e+00
8.19192229e+04, -2.3530e+01, 4.7397e+01, -1.1139e+01, -5.1770e+00
7.34753611e+04, -2.4146e+01, 4.8968e+01, -1.1075e+01, -4.9046e+00
6.59018543e+04, -2.4785e+01, 5.0334e+01, -1.1018e+01, -4.6190e+00
5.91089902e+04, -2.5442e+01, 5.1506e+01, -1.0964e+01, -4.3264e+00
5.30163037e+04, -2.6115e+01, 5.2466e+01, -1.0919e+01, -4.0359e+00
4.75516237e+04, -2.6805e+01, 5.3226e+01, -1.0879e+01, -3.7511e+00
4.26502181e+04, -2.7506e+01, 5.3769e+01, -1.0847e+01, -3.4765e+00
3.82540271e+04, -2.8206e+01, 5.4129e+01, -1.0815e+01, -3.2156e+00
3.43109756e+04, -2.8910e+01, 5.4287e+01, -1.0791e+01, -2.9679e+00
3.07743559e+04, -2.9604e+01, 5.4263e+01, -1.0768e+01, -2.7346e+00
2.76022750e+04, -3.0290e+01, 5.4077e+01, -1.0748e+01, -2.5194e+00
2.47571577e+04, -3.0965e+01, 5.3705e+01, -1.0731e+01, -2.3203e+00
2.22053022e+04, -3.1624e+01, 5.3222e+01, -1.0716e+01, -2.1374e+00
1.99164804e+04, -3.2269e+01, 5.2604e+01, -1.0706e+01, -1.9661e+00
1.78635800e+04, -3.2894e+01, 5.1852e+01, -1.0694e+01, -1.8116e+00
1.60222832e+04, -3.3503e+01, 5.1043e+01, -1.0685e+01, -1.6713e+00
1.43707790e+04, -3.4085e+01, 5.0135e+01, -1.0676e+01, -1.5439e+00
1.28895043e+04, -3.4652e+01, 4.9221e+01, -1.0668e+01, -1.4270e+00
1.15609127e+04, -3.5181e+01, 4.8228e+01, -1.0661e+01, -1.3217e+00
1.03692663e+04, -3.5700e+01, 4.7234e+01, -1.0654e+01, -1.2244e+00
9.30044934e+03, -3.6191e+01, 4.6239e+01, -1.0648e+01, -1.1376e+00
8.34180123e+03, -3.6671e+01, 4.5275e+01, -1.0643e+01, -1.0595e+00
7.48196621e+03, -3.7125e+01, 4.4342e+01, -1.0637e+01, -9.8878e-01
