% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 500 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring harmonic 2, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 1.00 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-22 T 13:53:07 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -7.6701e+01, 7.6377e+01, -7.6225e+01, -1.7799e+02
8.96924538e+05, -7.4264e+01, 9.9695e+01, -7.7398e+01, -1.5423e+02
8.04473626e+05, -7.1499e+01, 1.2126e+02, -7.8956e+01, -1.3177e+02
7.21552135e+05, -6.9259e+01, 1.4015e+02, -8.0401e+01, -9.4518e+01
6.47177815e+05, -6.6895e+01, 1.5895e+02, -7.9945e+01, -5.4494e+01
5.80469663e+05, -6.4788e+01, 1.7662e+02, -7.6613e+01, -1.4015e+01
5.20637484e+05, -6.2630e+01, 1.9237e+02, -7.3442e+01, 1.2123e+01
4.66972534e+05, -6.0577e+01, 2.0740e+02, -7.0226e+01, 3.3417e+01
4.18839124e+05, -5.8632e+01, 2.2161e+02, -6.7235e+01, 4.8526e+01
3.75667088e+05, -5.6769e+01, 2.3524e+02, -6.4733e+01, 6.3058e+01
3.36945029e+05, -5.5026e+01, 2.4815e+02, -6.2511e+01, 7.5719e+01
3.02214265e+05, -5.3419e+01, 2.6049e+02, -6.0440e+01, 8.8028e+01
2.71063389e+05, -5.1871e+01, 2.7272e+02, -5.8551e+01, 9.9825e+01
2.43123405e+05, -5.0443e+01, 2.8453e+02, -5.6856e+01, 1.1104e+02
2.18063348e+05, -4.9097e+01, 2.9616e+02, -5.5350e+01, 1.2227e+02
1.95586367e+05, -4.7862e+01, 3.0757e+02, -5.3977e+01, 1.3291e+02
1.75426212e+05, -4.6722e+01, 3.1853e+02, -5.2698e+01, 1.4430e+02
1.57344074e+05, -4.5748e+01, 3.2964e+02, -5.1666e+01, 1.5352e+02
1.41125761e+05, -4.4880e+01, 3.4039e+02, -5.0719e+01, 1.6342e+02
1.26579158e+05, -4.4126e+01, 3.5091e+02, -4.9947e+01, 1.7326e+02
1.13531953e+05, -4.3467e+01, 3.6106e+02, -4.9291e+01, 1.8278e+02
1.01829594e+05, -4.2916e+01, 3.7083e+02, -4.8787e+01, 1.9193e+02
9.13334617e+04, -4.2503e+01, 3.8024e+02, -4.8408e+01, 2.0082e+02
8.19192229e+04, -4.2182e+01, 3.8923e+02, -4.8122e+01, 2.0948e+02
7.34753611e+04, -4.1969e+01, 3.9778e+02, -4.7926e+01, 2.1788e+02
6.59018543e+04, -4.1833e+01, 4.0575e+02, -4.7823e+01, 2.2576e+02
5.91089902e+04, -4.1795e+01, 4.1321e+02, -4.7794e+01, 2.3319e+02
