% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 10.00000 MHz to 10.00000 kHz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 50 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-19 T 17:21:53 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+07, -1.4833e+01, 1.4815e+02, -1.2904e+01, -1.6332e+02
9.47060999e+06, -1.4688e+01, 1.6027e+02, -1.3076e+01, -1.5453e+02
8.96924537e+06, -1.4561e+01, 1.7187e+02, -1.3245e+01, -1.4637e+02
8.49442248e+06, -1.4454e+01, -1.7702e+02, -1.3405e+01, -1.3880e+02
8.04473625e+06, -1.4363e+01, -1.6638e+02, -1.3556e+01, -1.3179e+02
7.61885595e+06, -1.4291e+01, -1.5620e+02, -1.3692e+01, -1.2532e+02
7.21552133e+06, -1.4236e+01, -1.4645e+02, -1.3815e+01, -1.1936e+02
6.83353884e+06, -1.4197e+01, -1.3711e+02, -1.3916e+01, -1.1387e+02
6.47177813e+06, -1.4176e+01, -1.2817e+02, -1.3998e+01, -1.0881e+02
6.12916866e+06, -1.4171e+01, -1.1961e+02, -1.4056e+01, -1.0415e+02
5.80469660e+06, -1.4183e+01, -1.1140e+02, -1.4090e+01, -9.9839e+01
5.49740176e+06, -1.4212e+01, -1.0355e+02, -1.4102e+01, -9.5845e+01
5.20637481e+06, -1.4255e+01, -9.6029e+01, -1.4086e+01, -9.2121e+01
4.93075453e+06, -1.4317e+01, -8.8831e+01, -1.4048e+01, -8.8635e+01
4.66972531e+06, -1.4393e+01, -8.1942e+01, -1.3986e+01, -8.5345e+01
4.42251472e+06, -1.4485e+01, -7.5354e+01, -1.3904e+01, -8.2220e+01
4.18839121e+06, -1.4591e+01, -6.9055e+01, -1.3804e+01, -7.9229e+01
3.96666197e+06, -1.4714e+01, -6.3037e+01, -1.3688e+01, -7.6347e+01
3.75667085e+06, -1.4851e+01, -5.7293e+01, -1.3559e+01, -7.3556e+01
3.55779645e+06, -1.5005e+01, -5.1815e+01, -1.3424e+01, -7.0840e+01
3.36945026e+06, -1.5172e+01, -4.6598e+01, -1.3280e+01, -6.8191e+01
3.19107493e+06, -1.5359e+01, -4.1627e+01, -1.3133e+01, -6.5560e+01
3.02214261e+06, -1.5549e+01, -3.6929e+01, -1.2985e+01, -6.3056e+01
2.86215340e+06, -1.5757e+01, -3.2465e+01, -1.2837e+01, -6.0563e+01
2.71063386e+06, -1.5978e+01, -2.8243e+01, -1.2693e+01, -5.8129e+01
2.56713561e+06, -1.6210e+01, -2.4259e+01, -1.2553e+01, -5.5742e+01
2.43123402e+06, -1.6451e+01, -2.0507e+01, -1.2416e+01, -5.3406e+01
