% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 1 MOhm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.002305 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 50 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-15 T 16:55:20 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00230524e+06, -1.0374e+01, -5.9785e+00, -9.1922e+00, -2.9481e+01
8.98975863e+05, -1.0474e+01, -1.8539e+00, -8.9821e+00, -2.9080e+01
8.06298891e+05, -1.0597e+01, 2.1787e+00, -8.7427e+00, -2.8738e+01
7.23176148e+05, -1.0744e+01, 6.1466e+00, -8.4748e+00, -2.8402e+01
6.48622672e+05, -1.0925e+01, 1.0060e+01, -8.1882e+00, -2.8026e+01
5.81755043e+05, -1.1141e+01, 1.3930e+01, -7.8824e+00, -2.7565e+01
5.21780912e+05, -1.1395e+01, 1.7758e+01, -7.5649e+00, -2.6991e+01
4.67989618e+05, -1.1691e+01, 2.1536e+01, -7.2429e+00, -2.6279e+01
4.19743762e+05, -1.2035e+01, 2.5244e+01, -6.9226e+00, -2.5422e+01
3.76471653e+05, -1.2426e+01, 2.8858e+01, -6.6125e+00, -2.4423e+01
3.37660542e+05, -1.2868e+01, 3.2356e+01, -6.3153e+00, -2.3290e+01
3.02850534e+05, -1.3360e+01, 3.5698e+01, -6.0393e+00, -2.2049e+01
2.71629150e+05, -1.3899e+01, 3.8845e+01, -5.7879e+00, -2.0732e+01
2.43626433e+05, -1.4484e+01, 4.1769e+01, -5.5621e+00, -1.9363e+01
2.18510564e+05, -1.5113e+01, 4.4436e+01, -5.3626e+00, -1.7977e+01
1.95983933e+05, -1.5786e+01, 4.6820e+01, -5.1884e+00, -1.6598e+01
1.75779612e+05, -1.6495e+01, 4.8903e+01, -5.0397e+00, -1.5247e+01
1.57658188e+05, -1.7228e+01, 5.0662e+01, -4.9125e+00, -1.3950e+01
1.41404934e+05, -1.7985e+01, 5.2090e+01, -4.8063e+00, -1.2712e+01
1.26827255e+05, -1.8761e+01, 5.3180e+01, -4.7167e+00, -1.1548e+01
1.13752415e+05, -1.9547e+01, 5.3921e+01, -4.6447e+00, -1.0463e+01
1.02025482e+05, -2.0335e+01, 5.4319e+01, -4.5840e+00, -9.4578e+00
9.15074995e+04, -2.1125e+01, 5.4378e+01, -4.5355e+00, -8.5335e+00
8.20738336e+04, -2.1906e+01, 5.4099e+01, -4.4964e+00, -7.6862e+00
7.36127006e+04, -2.2675e+01, 5.3493e+01, -4.4639e+00, -6.9137e+00
6.60238403e+04, -2.3427e+01, 5.2570e+01, -4.4390e+00, -6.2124e+00
5.92173288e+04, -2.4158e+01, 5.1343e+01, -4.4186e+00, -5.5758e+00
5.31125123e+04, -2.4862e+01, 4.9831e+01, -4.4035e+00, -5.0019e+00
4.76370518e+04, -2.5530e+01, 4.8062e+01, -4.3903e+00, -4.4837e+00
4.27260660e+04, -2.6160e+01, 4.6075e+01, -4.3799e+00, -4.0171e+00
3.83213622e+04, -2.6744e+01, 4.3884e+01, -4.3723e+00, -3.5979e+00
3.43707469e+04, -2.7279e+01, 4.1540e+01, -4.3659e+00, -3.2217e+00
3.08274073e+04, -2.7766e+01, 3.9106e+01, -4.3623e+00, -2.8837e+00
2.76493567e+04, -2.8201e+01, 3.6578e+01, -4.3565e+00, -2.5807e+00
2.47989369e+04, -2.8589e+01, 3.4044e+01, -4.3534e+00, -2.3098e+00
2.22423717e+04, -2.8932e+01, 3.1524e+01, -4.3523e+00, -2.0680e+00
1.99493673e+04, -2.9229e+01, 2.9050e+01, -4.3507e+00, -1.8497e+00
1.78927526e+04, -2.9481e+01, 2.6677e+01, -4.3493e+00, -1.6565e+00
1.60481579e+04, -2.9699e+01, 2.4389e+01, -4.3508e+00, -1.4820e+00
1.43937256e+04, -2.9882e+01, 2.2222e+01, -4.3485e+00, -1.3265e+00
1.29098516e+04, -3.0033e+01, 2.0223e+01, -4.3484e+00, -1.1877e+00
1.15789528e+04, -3.0160e+01, 1.8338e+01, -4.3476e+00, -1.0638e+00
1.03852586e+04, -3.0264e+01, 1.6594e+01, -4.3480e+00, -9.5222e-01
9.31462435e+03, -3.0351e+01, 1.5005e+01, -4.3480e+00, -8.5315e-01
8.35436366e+03, -3.0420e+01, 1.3531e+01, -4.3488e+00, -7.6512e-01
7.49309791e+03, -3.0477e+01, 1.2197e+01, -4.3478e+00, -6.8572e-01
6.72062152e+03, -3.0528e+01, 1.0976e+01, -4.3479e+00, -6.1501e-01
6.02778106e+03, -3.0564e+01, 9.8932e+00, -4.3488e+00, -5.5145e-01
5.40636672e+03, -3.0593e+01, 8.8855e+00, -4.3478e+00, -4.9460e-01
4.84901505e+03, -3.0622e+01, 7.9851e+00, -4.3484e+00, -4.4257e-01
4.34912173e+03, -3.0639e+01, 7.1753e+00, -4.3483e+00, -3.9657e-01
3.90076327e+03, -3.0655e+01, 6.4461e+00, -4.3480e+00, -3.5604e-01
3.49862686e+03, -3.0671e+01, 5.7770e+00, -4.3472e+00, -3.1932e-01
3.13794739e+03, -3.0680e+01, 5.1951e+00, -4.3481e+00, -2.8581e-01
2.81445098e+03, -3.0689e+01, 4.6728e+00, -4.3481e+00, -2.5681e-01
2.52430438e+03, -3.0696e+01, 4.1923e+00, -4.3482e+00, -2.2998e-01
2.26406948e+03, -3.0703e+01, 3.7538e+00, -4.3487e+00, -2.0622e-01
2.03066266e+03, -3.0707e+01, 3.3695e+00, -4.3484e+00, -1.8542e-01
1.82131814e+03, -3.0709e+01, 3.0235e+00, -4.3481e+00, -1.6674e-01
1.63355532e+03, -3.0712e+01, 2.7130e+00, -4.3479e+00, -1.4845e-01
1.46514928e+03, -3.0715e+01, 2.4314e+00, -4.3484e+00, -1.3393e-01
1.31410452e+03, -3.0716e+01, 2.1821e+00, -4.3477e+00, -1.1946e-01
1.17863122e+03, -3.0717e+01, 1.9611e+00, -4.3485e+00, -1.0769e-01
1.05712409e+03, -3.0719e+01, 1.7582e+00, -4.3476e+00, -9.5899e-02
9.48143346e+02, -3.0720e+01, 1.5677e+00, -4.3475e+00, -8.6439e-02
8.50397614e+02, -3.0722e+01, 1.4129e+00, -4.3476e+00, -7.7452e-02
7.62728657e+02, -3.0720e+01, 1.2788e+00, -4.3476e+00, -6.9801e-02
6.84097645e+02, -3.0723e+01, 1.1424e+00, -4.3477e+00, -5.9189e-02
6.13572839e+02, -3.0722e+01, 1.0107e+00, -4.3476e+00, -5.6568e-02
5.50318557e+02, -3.0722e+01, 9.0950e-01, -4.3481e+00, -5.0287e-02
4.93585268e+02, -3.0721e+01, 8.2532e-01, -4.3475e+00, -4.5399e-02
4.42700712e+02, -3.0723e+01, 7.4018e-01, -4.3476e+00, -4.0315e-02
3.97061932e+02, -3.0722e+01, 6.5676e-01, -4.3478e+00, -3.7041e-02
3.56128133e+02, -3.0724e+01, 5.9362e-01, -4.3475e+00, -3.3282e-02
3.19414270e+02, -3.0724e+01, 5.2735e-01, -4.3484e+00, -2.9617e-02
2.86485302e+02, -3.0724e+01, 4.7419e-01, -4.3474e+00, -2.6588e-02
2.56951038e+02, -3.0724e+01, 4.3260e-01, -4.3482e+00, -2.4339e-02
2.30461513e+02, -3.0723e+01, 3.8355e-01, -4.3482e+00, -2.0909e-02
2.06702838e+02, -3.0724e+01, 3.4199e-01, -4.3476e+00, -1.9237e-02
1.85393486e+02, -3.0723e+01, 3.0741e-01, -4.3469e+00, -1.7948e-02
1.66280952e+02, -3.0723e+01, 2.7520e-01, -4.3475e+00, -1.6447e-02
1.49138762e+02, -3.0722e+01, 2.4387e-01, -4.3476e+00, -1.4339e-02
1.33763790e+02, -3.0724e+01, 2.1892e-01, -4.3476e+00, -1.3043e-02
1.19973850e+02, -3.0724e+01, 2.0144e-01, -4.3477e+00, -1.2012e-02
1.07605539e+02, -3.0724e+01, 1.7986e-01, -4.3475e+00, -1.0987e-02
9.65122984e+01, -3.0723e+01, 1.5815e-01, -4.3474e+00, -9.4656e-03
8.65626791e+01, -3.0724e+01, 1.4468e-01, -4.3475e+00, -8.8561e-03
7.76387833e+01, -3.0723e+01, 1.2216e-01, -4.3477e+00, -8.0894e-03
6.96348673e+01, -3.0725e+01, 1.1747e-01, -4.3480e+00, -7.2414e-03
6.24560887e+01, -3.0724e+01, 9.7463e-02, -4.3474e+00, -6.2689e-03
5.60173829e+01, -3.0724e+01, 9.5706e-02, -4.3472e+00, -5.4527e-03
5.02424543e+01, -3.0724e+01, 8.7969e-02, -4.3469e+00, -5.3679e-03
4.50628730e+01, -3.0723e+01, 7.9777e-02, -4.3466e+00, -5.1155e-03
4.04172638e+01, -3.0724e+01, 8.0136e-02, -4.3465e+00, -4.0075e-03
3.62505783e+01, -3.0725e+01, 6.6711e-02, -4.3472e+00, -3.8997e-03
3.25134437e+01, -3.0724e+01, 5.6398e-02, -4.3475e+00, -3.7493e-03
2.91615767e+01, -3.0725e+01, 5.6812e-02, -4.3471e+00, -2.7837e-03
2.61552595e+01, -3.0724e+01, 4.7761e-02, -4.3472e+00, -3.0992e-03
2.34588687e+01, -3.0726e+01, 3.4546e-02, -4.3477e+00, -2.7371e-03
2.10404535e+01, -3.0725e+01, 3.3407e-02, -4.3474e+00, -2.8372e-03
1.88713569e+01, -3.0726e+01, 3.1548e-02, -4.3466e+00, -2.1206e-03
1.69258761e+01, -3.0726e+01, 3.2295e-02, -4.3478e+00, -2.0757e-03
1.51809584e+01, -3.0724e+01, 2.0169e-02, -4.3470e+00, -1.8939e-03
1.36159272e+01, -3.0724e+01, 2.1440e-02, -4.3472e+00, -1.4925e-03
1.22122378e+01, -3.0723e+01, 2.1447e-02, -4.3475e+00, -1.4389e-03
1.09532571e+01, -3.0725e+01, 2.0133e-02, -4.3465e+00, -1.4848e-03
9.82406698e+00, -3.0724e+01, 1.5426e-02, -4.3465e+00, -1.2240e-03
8.81128698e+00, -3.0724e+01, 1.5793e-02, -4.3473e+00, -1.3764e-03
7.90291621e+00, -3.0724e+01, 1.7621e-02, -4.3468e+00, -1.5778e-03
7.08819095e+00, -3.0724e+01, 5.7993e-03, -4.3463e+00, -1.0204e-03
6.35745713e+00, -3.0725e+01, 4.7109e-03, -4.3465e+00, -6.1277e-04
5.70205591e+00, -3.0723e+01, 1.6356e-02, -4.3467e+00, -6.3539e-04
5.11422113e+00, -3.0723e+01, -8.2508e-04, -4.3468e+00, -1.2793e-03
4.58698726e+00, -3.0723e+01, 5.1704e-03, -4.3470e+00, -6.4916e-04
4.11410683e+00, -3.0724e+01, 1.0226e-02, -4.3470e+00, -6.9913e-04
3.68997647e+00, -3.0724e+01, 1.2038e-03, -4.3470e+00, -6.6406e-04
3.30957043e+00, -3.0723e+01, 5.5745e-03, -4.3469e+00, -1.0602e-03
2.96838111e+00, -3.0723e+01, 8.6180e-03, -4.3473e+00, -3.0600e-04
2.66236558e+00, -3.0725e+01, 7.8238e-03, -4.3475e+00, -1.0221e-03
2.38789772e+00, -3.0725e+01, -1.1339e-03, -4.3472e+00, -9.8850e-04
2.14172523e+00, -3.0724e+01, 5.4725e-03, -4.3470e+00, -1.6707e-04
1.92093108e+00, -3.0725e+01, 3.5040e-03, -4.3472e+00, 5.8832e-05
1.72289899e+00, -3.0724e+01, 8.0204e-04, -4.3464e+00, -1.9209e-05
1.54528236e+00, -3.0722e+01, 1.1696e-02, -4.3463e+00, 2.8751e-04
1.38597654e+00, -3.0724e+01, -6.5801e-04, -4.3470e+00, -4.5574e-05
1.24309383e+00, -3.0723e+01, -3.7369e-04, -4.3466e+00, 6.3008e-05
1.11494114e+00, -3.0724e+01, 7.5471e-03, -4.3464e+00, 8.0736e-05
9.99999935e-01, -3.0723e+01, 6.2113e-03, -4.3463e+00, 9.5810e-05
