% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 800 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (off), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring harmonic 2, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 1 cycles; Settling time 1.00 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-26 T 13:19:23 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg)
1.00000000e+06, -6.6062e+01, -8.4428e+01
8.96924538e+05, -6.3265e+01, -7.1574e+01
8.04473626e+05, -6.0614e+01, -5.5090e+01
7.21552135e+05, -5.8126e+01, -3.9451e+01
6.47177815e+05, -5.5782e+01, -2.4581e+01
5.80469663e+05, -5.3500e+01, -1.0433e+01
5.20637484e+05, -5.1337e+01, 2.3631e+00
4.66972534e+05, -4.9294e+01, 1.4582e+01
4.18839124e+05, -4.7332e+01, 2.6085e+01
3.75667088e+05, -4.5435e+01, 3.7110e+01
3.36945029e+05, -4.3653e+01, 4.7519e+01
3.02214265e+05, -4.1927e+01, 5.7495e+01
2.71063389e+05, -4.0275e+01, 6.7062e+01
2.43123405e+05, -3.8713e+01, 7.6311e+01
2.18063348e+05, -3.7225e+01, 8.5261e+01
1.95586367e+05, -3.5816e+01, 9.3994e+01
1.75426212e+05, -3.4484e+01, 1.0267e+02
1.57344074e+05, -3.3221e+01, 1.1083e+02
1.41125761e+05, -3.2055e+01, 1.1904e+02
1.26579158e+05, -3.0974e+01, 1.2712e+02
1.13531953e+05, -2.9966e+01, 1.3506e+02
1.01829594e+05, -2.9063e+01, 1.4290e+02
9.13334617e+04, -2.8229e+01, 1.5055e+02
8.19192229e+04, -2.7485e+01, 1.5807e+02
7.34753611e+04, -2.6811e+01, 1.6539e+02
6.59018543e+04, -2.6198e+01, 1.7250e+02
5.91089902e+04, -2.5653e+01, 1.7939e+02
5.30163037e+04, -2.5200e+01, 1.8604e+02
4.75516237e+04, -2.4797e+01, 1.9244e+02
4.26502181e+04, -2.4454e+01, 1.9857e+02
3.82540271e+04, -2.4160e+01, 2.0445e+02
3.43109756e+04, -2.3893e+01, 2.1005e+02
3.07743559e+04, -2.3666e+01, 2.1536e+02
2.76022750e+04, -2.3469e+01, 2.2034e+02
2.47571577e+04, -2.3295e+01, 2.2501e+02
2.22053022e+04, -2.3154e+01, 2.2935e+02
1.99164804e+04, -2.3031e+01, 2.3338e+02
1.78635800e+04, -2.2928e+01, 2.3714e+02
