% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (off), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 800 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 1 cycles; Settling time 1.00 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-26 T 13:18:34 -0300
% Frequency (Hz), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, 3.1349e-01, -2.6245e+00
8.96924538e+05, 3.2933e-01, -2.7940e+00
8.04473626e+05, 3.4780e-01, -2.9843e+00
7.21552135e+05, 3.6717e-01, -3.1955e+00
6.47177815e+05, 3.9037e-01, -3.4291e+00
5.80469663e+05, 4.1696e-01, -3.6836e+00
5.20637484e+05, 4.4703e-01, -3.9584e+00
4.66972534e+05, 4.8137e-01, -4.2529e+00
4.18839124e+05, 5.2126e-01, -4.5627e+00
3.75667088e+05, 5.6540e-01, -4.8871e+00
3.36945029e+05, 6.1650e-01, -5.2226e+00
3.02214265e+05, 6.7338e-01, -5.5610e+00
2.71063389e+05, 7.3835e-01, -5.8993e+00
2.43123405e+05, 8.1157e-01, -6.2271e+00
2.18063348e+05, 8.9004e-01, -6.5377e+00
1.95586367e+05, 9.7703e-01, -6.8241e+00
1.75426212e+05, 1.0703e+00, -7.0741e+00
1.57344074e+05, 1.1694e+00, -7.2834e+00
1.41125761e+05, 1.2749e+00, -7.4435e+00
1.26579158e+05, 1.3824e+00, -7.5467e+00
1.13531953e+05, 1.4912e+00, -7.5927e+00
1.01829594e+05, 1.6011e+00, -7.5787e+00
9.13334617e+04, 1.7105e+00, -7.5033e+00
8.19192229e+04, 1.8174e+00, -7.3733e+00
7.34753611e+04, 1.9201e+00, -7.1903e+00
6.59018543e+04, 2.0156e+00, -6.9636e+00
5.91089902e+04, 2.1068e+00, -6.7003e+00
5.30163037e+04, 2.1910e+00, -6.4062e+00
4.75516237e+04, 2.2665e+00, -6.0922e+00
4.26502181e+04, 2.3358e+00, -5.7669e+00
3.82540271e+04, 2.3968e+00, -5.4336e+00
3.43109756e+04, 2.4524e+00, -5.1023e+00
3.07743559e+04, 2.5024e+00, -4.7761e+00
2.76022750e+04, 2.5446e+00, -4.4570e+00
2.47571577e+04, 2.5826e+00, -4.1531e+00
2.22053022e+04, 2.6157e+00, -3.8621e+00
1.99164804e+04, 2.6450e+00, -3.5882e+00
1.78635800e+04, 2.6701e+00, -3.3322e+00
1.60222832e+04, 2.6927e+00, -3.0916e+00
1.43707790e+04, 2.7125e+00, -2.8704e+00
1.28895043e+04, 2.7293e+00, -2.6649e+00
1.15609127e+04, 2.7438e+00, -2.4763e+00
1.03692663e+04, 2.7572e+00, -2.3041e+00
9.30044934e+03, 2.7692e+00, -2.1455e+00
8.34180123e+03, 2.7797e+00, -2.0015e+00
7.48196621e+03, 2.7896e+00, -1.8727e+00
6.71075908e+03, 2.7988e+00, -1.7535e+00
6.01904449e+03, 2.8071e+00, -1.6484e+00
5.39862869e+03, 2.8146e+00, -1.5524e+00
4.84216254e+03, 2.8221e+00, -1.4671e+00
4.34305440e+03, 2.8281e+00, -1.3908e+00
3.89539206e+03, 2.8351e+00, -1.3239e+00
3.49387272e+03, 2.8410e+00, -1.2666e+00
3.13374018e+03, 2.8469e+00, -1.2160e+00
2.81072846e+03, 2.8530e+00, -1.1727e+00
2.52101132e+03, 2.8595e+00, -1.1368e+00
2.26115691e+03, 2.8654e+00, -1.1067e+00
2.02808712e+03, 2.8711e+00, -1.0820e+00
1.81904110e+03, 2.8769e+00, -1.0623e+00
1.63154260e+03, 2.8833e+00, -1.0475e+00
1.46337059e+03, 2.8899e+00, -1.0367e+00
1.31253299e+03, 2.8972e+00, -1.0333e+00
1.17724305e+03, 2.9045e+00, -1.0304e+00
1.05589818e+03, 2.9115e+00, -1.0320e+00
9.47060982e+02, 2.9220e+00, -1.0281e+00
8.49442234e+02, 2.9292e+00, -1.0363e+00
7.61885583e+02, 2.9386e+00, -1.0399e+00
6.83353874e+02, 2.9480e+00, -1.0444e+00
6.12916857e+02, 2.9576e+00, -1.0491e+00
5.49740169e+02, 2.9667e+00, -1.0530e+00
4.93075447e+02, 2.9769e+00, -1.0474e+00
4.42251467e+02, 2.9844e+00, -1.0489e+00
3.96666193e+02, 2.9946e+00, -1.0461e+00
3.55779641e+02, 3.0063e+00, -1.0409e+00
3.19107490e+02, 3.0142e+00, -1.0358e+00
2.86215338e+02, 3.0240e+00, -1.0278e+00
2.56713560e+02, 3.0328e+00, -1.0160e+00
2.30252691e+02, 3.0430e+00, -9.9926e-01
2.06519288e+02, 3.0506e+00, -9.8666e-01
1.85232217e+02, 3.0596e+00, -9.6429e-01
1.66139321e+02, 3.0688e+00, -9.4679e-01
1.49014434e+02, 3.0770e+00, -9.2483e-01
1.33654702e+02, 3.0831e+00, -9.0997e-01
1.19878182e+02, 3.0914e+00, -8.8519e-01
1.07521683e+02, 3.1004e+00, -8.6841e-01
9.64388355e+01, 3.1071e+00, -8.4491e-01
8.64983580e+01, 3.1156e+00, -8.2981e-01
7.75824997e+01, 3.1213e+00, -8.0783e-01
6.95856477e+01, 3.1271e+00, -7.8922e-01
6.24130749e+01, 3.1328e+00, -7.7097e-01
5.59798183e+01, 3.1389e+00, -7.5280e-01
5.02096727e+01, 3.1438e+00, -7.4025e-01
4.50342874e+01, 3.1492e+00, -7.2479e-01
4.03923574e+01, 3.1543e+00, -7.1394e-01
3.62288965e+01, 3.1602e+00, -7.0209e-01
3.24945863e+01, 3.1635e+00, -6.9537e-01
2.91451918e+01, 3.1678e+00, -6.8504e-01
2.61410376e+01, 3.1719e+00, -6.7641e-01
2.34465381e+01, 3.1780e+00, -6.7323e-01
2.10297753e+01, 3.1823e+00, -6.6749e-01
1.88621215e+01, 3.1867e+00, -6.6377e-01
1.69178996e+01, 3.1922e+00, -6.5903e-01
1.51740793e+01, 3.1962e+00, -6.5449e-01
1.36100041e+01, 3.2017e+00, -6.5246e-01
1.22071466e+01, 3.2074e+00, -6.4854e-01
1.09488893e+01, 3.2119e+00, -6.4526e-01
9.82032749e+00, 3.2172e+00, -6.3830e-01
8.80809269e+00, 3.2214e+00, -6.3390e-01
7.90019446e+00, 3.2279e+00, -6.2909e-01
7.08587827e+00, 3.2350e+00, -6.2193e-01
6.35549809e+00, 3.2386e+00, -6.1367e-01
5.70040218e+00, 3.2457e+00, -6.0413e-01
5.11283059e+00, 3.2492e+00, -5.9722e-01
4.58582322e+00, 3.2542e+00, -5.8009e-01
4.11313737e+00, 3.2595e+00, -5.7134e-01
3.68917383e+00, 3.2643e+00, -5.5653e-01
3.30891053e+00, 3.2721e+00, -5.4378e-01
2.96784305e+00, 3.2782e+00, -5.2753e-01
2.66193125e+00, 3.2820e+00, -5.1363e-01
2.38755146e+00, 3.2873e+00, -4.9669e-01
2.14145349e+00, 3.2915e+00, -4.7985e-01
1.92072218e+00, 3.2965e+00, -4.6331e-01
1.72274285e+00, 3.3030e+00, -4.4616e-01
1.54517034e+00, 3.3094e+00, -4.3062e-01
1.38590119e+00, 3.3177e+00, -4.1478e-01
1.24304878e+00, 3.3209e+00, -3.9631e-01
1.11492096e+00, 3.3254e+00, -3.7799e-01
9.99999963e-01, 3.3302e+00, -3.6171e-01
