% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 2.00 ms, 50 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-19 T 18:31:09 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -1.6580e+01, -1.7101e+01, -1.2307e+01, -2.0328e+01
8.96924538e+05, -1.6592e+01, -1.4355e+01, -1.2277e+01, -1.8562e+01
8.04473626e+05, -1.6608e+01, -1.1788e+01, -1.2249e+01, -1.6993e+01
7.21552135e+05, -1.6629e+01, -9.3733e+00, -1.2225e+01, -1.5610e+01
6.47177815e+05, -1.6649e+01, -7.0811e+00, -1.2201e+01, -1.4394e+01
5.80469663e+05, -1.6678e+01, -4.8919e+00, -1.2176e+01, -1.3334e+01
5.20637484e+05, -1.6713e+01, -2.7808e+00, -1.2150e+01, -1.2417e+01
4.66972534e+05, -1.6755e+01, -7.2749e-01, -1.2124e+01, -1.1626e+01
4.18839124e+05, -1.6805e+01, 1.2841e+00, -1.2095e+01, -1.0957e+01
3.75667088e+05, -1.6865e+01, 3.2713e+00, -1.2063e+01, -1.0393e+01
3.36945029e+05, -1.6936e+01, 5.2551e+00, -1.2028e+01, -9.9219e+00
3.02214265e+05, -1.7020e+01, 7.2435e+00, -1.1987e+01, -9.5357e+00
2.71063389e+05, -1.7120e+01, 9.2404e+00, -1.1942e+01, -9.2211e+00
2.43123405e+05, -1.7237e+01, 1.1258e+01, -1.1890e+01, -8.9666e+00
2.18063348e+05, -1.7376e+01, 1.3300e+01, -1.1832e+01, -8.7589e+00
1.95586367e+05, -1.7537e+01, 1.5360e+01, -1.1770e+01, -8.5855e+00
1.75426212e+05, -1.7724e+01, 1.7439e+01, -1.1701e+01, -8.4333e+00
1.57344074e+05, -1.7940e+01, 1.9516e+01, -1.1626e+01, -8.2896e+00
1.41125761e+05, -1.8185e+01, 2.1592e+01, -1.1546e+01, -8.1439e+00
1.26579158e+05, -1.8463e+01, 2.3637e+01, -1.1462e+01, -7.9825e+00
1.13531953e+05, -1.8773e+01, 2.5632e+01, -1.1377e+01, -7.8020e+00
1.01829594e+05, -1.9117e+01, 2.7553e+01, -1.1291e+01, -7.5927e+00
9.13334617e+04, -1.9495e+01, 2.9365e+01, -1.1204e+01, -7.3511e+00
8.19192229e+04, -1.9907e+01, 3.1040e+01, -1.1119e+01, -7.0782e+00
7.34753611e+04, -2.0346e+01, 3.2542e+01, -1.1039e+01, -6.7755e+00
6.59018543e+04, -2.0816e+01, 3.3859e+01, -1.0963e+01, -6.4485e+00
5.91089902e+04, -2.1307e+01, 3.4964e+01, -1.0891e+01, -6.1029e+00
5.30163037e+04, -2.1819e+01, 3.5824e+01, -1.0827e+01, -5.7465e+00
4.75516237e+04, -2.2344e+01, 3.6436e+01, -1.0768e+01, -5.3822e+00
4.26502181e+04, -2.2880e+01, 3.6791e+01, -1.0718e+01, -5.0169e+00
3.82540271e+04, -2.3416e+01, 3.6888e+01, -1.0672e+01, -4.6591e+00
3.43109756e+04, -2.3943e+01, 3.6727e+01, -1.0632e+01, -4.3113e+00
3.07743559e+04, -2.4464e+01, 3.6323e+01, -1.0597e+01, -3.9771e+00
2.76022750e+04, -2.4969e+01, 3.5700e+01, -1.0567e+01, -3.6601e+00
2.47571577e+04, -2.5454e+01, 3.4860e+01, -1.0541e+01, -3.3593e+00
2.22053022e+04, -2.5919e+01, 3.3829e+01, -1.0520e+01, -3.0810e+00
1.99164804e+04, -2.6356e+01, 3.2676e+01, -1.0500e+01, -2.8214e+00
1.78635800e+04, -2.6761e+01, 3.1364e+01, -1.0484e+01, -2.5793e+00
1.60222832e+04, -2.7138e+01, 2.9977e+01, -1.0470e+01, -2.3578e+00
1.43707790e+04, -2.7486e+01, 2.8521e+01, -1.0459e+01, -2.1541e+00
1.28895043e+04, -2.7801e+01, 2.7005e+01, -1.0449e+01, -1.9668e+00
1.15609127e+04, -2.8084e+01, 2.5477e+01, -1.0440e+01, -1.7943e+00
1.03692663e+04, -2.8340e+01, 2.3970e+01, -1.0433e+01, -1.6380e+00
9.30044934e+03, -2.8577e+01, 2.2488e+01, -1.0426e+01, -1.4962e+00
8.34180123e+03, -2.8780e+01, 2.1057e+01, -1.0421e+01, -1.3690e+00
7.48196621e+03, -2.8967e+01, 1.9679e+01, -1.0416e+01, -1.2506e+00
6.71075908e+03, -2.9124e+01, 1.8342e+01, -1.0411e+01, -1.1457e+00
6.01904449e+03, -2.9274e+01, 1.7090e+01, -1.0406e+01, -1.0514e+00
5.39862869e+03, -2.9394e+01, 1.5867e+01, -1.0404e+01, -9.6272e-01
4.84216254e+03, -2.9518e+01, 1.4792e+01, -1.0401e+01, -8.8301e-01
4.34305440e+03, -2.9621e+01, 1.3789e+01, -1.0396e+01, -8.1219e-01
3.89539206e+03, -2.9724e+01, 1.2843e+01, -1.0393e+01, -7.4880e-01
3.49387272e+03, -2.9795e+01, 1.1963e+01, -1.0392e+01, -6.8973e-01
3.13374018e+03, -2.9869e+01, 1.1168e+01, -1.0389e+01, -6.3708e-01
2.81072846e+03, -2.9938e+01, 1.0426e+01, -1.0387e+01, -5.8903e-01
2.52101132e+03, -2.9986e+01, 9.7459e+00, -1.0386e+01, -5.4619e-01
2.26115691e+03, -3.0042e+01, 9.1234e+00, -1.0383e+01, -5.0651e-01
2.02808712e+03, -3.0096e+01, 8.5712e+00, -1.0382e+01, -4.7261e-01
1.81904110e+03, -3.0139e+01, 8.0386e+00, -1.0380e+01, -4.4095e-01
1.63154260e+03, -3.0185e+01, 7.6002e+00, -1.0379e+01, -4.1325e-01
1.46337059e+03, -3.0227e+01, 7.1684e+00, -1.0377e+01, -3.8765e-01
1.31253299e+03, -3.0258e+01, 6.7933e+00, -1.0376e+01, -3.6537e-01
1.17724305e+03, -3.0300e+01, 6.4655e+00, -1.0374e+01, -3.4495e-01
1.05589818e+03, -3.0324e+01, 6.1485e+00, -1.0372e+01, -3.2588e-01
9.47060982e+02, -3.0352e+01, 5.8967e+00, -1.0371e+01, -3.1138e-01
8.49442234e+02, -3.0389e+01, 5.6633e+00, -1.0369e+01, -2.9571e-01
7.61885583e+02, -3.0417e+01, 5.4423e+00, -1.0368e+01, -2.8425e-01
6.83353874e+02, -3.0446e+01, 5.2674e+00, -1.0367e+01, -2.7645e-01
6.12916857e+02, -3.0472e+01, 5.1002e+00, -1.0365e+01, -2.6512e-01
