% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 10.00000 MHz to 10.00000 kHz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 50 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-19 T 17:42:00 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+07, 6.7636e-01, 8.8888e+00, -5.6996e-01, -1.3558e+00
9.47060999e+06, 6.6180e-01, 9.7179e+00, -6.0961e-01, -1.8160e+00
8.96924537e+06, 6.4435e-01, 1.0594e+01, -6.4462e-01, -2.3398e+00
8.49442248e+06, 6.2329e-01, 1.1514e+01, -6.7170e-01, -2.9244e+00
8.04473625e+06, 5.8851e-01, 1.2469e+01, -6.9076e-01, -3.5739e+00
7.61885595e+06, 5.4974e-01, 1.3455e+01, -7.0252e-01, -4.2750e+00
7.21552133e+06, 5.0437e-01, 1.4471e+01, -7.0170e-01, -5.0205e+00
6.83353884e+06, 4.5121e-01, 1.5518e+01, -6.8817e-01, -5.7999e+00
6.47177813e+06, 3.8556e-01, 1.6583e+01, -6.6197e-01, -6.6038e+00
6.12916866e+06, 3.1290e-01, 1.7681e+01, -6.1953e-01, -7.4199e+00
5.80469660e+06, 2.2933e-01, 1.8794e+01, -5.6203e-01, -8.2306e+00
5.49740176e+06, 1.3492e-01, 1.9928e+01, -4.8802e-01, -9.0215e+00
5.20637481e+06, 2.8948e-02, 2.1073e+01, -4.0024e-01, -9.7716e+00
4.93075453e+06, -8.9347e-02, 2.2223e+01, -2.9697e-01, -1.0469e+01
4.66972531e+06, -2.1965e-01, 2.3375e+01, -1.8515e-01, -1.1103e+01
4.42251472e+06, -3.6040e-01, 2.4523e+01, -6.2614e-02, -1.1659e+01
4.18839121e+06, -5.1541e-01, 2.5657e+01, 6.9504e-02, -1.2131e+01
3.96666197e+06, -6.8055e-01, 2.6774e+01, 2.0713e-01, -1.2509e+01
3.75667085e+06, -8.6475e-01, 2.7867e+01, 3.4653e-01, -1.2797e+01
3.55779645e+06, -1.0556e+00, 2.8928e+01, 4.9009e-01, -1.2992e+01
3.36945026e+06, -1.2578e+00, 2.9939e+01, 6.3195e-01, -1.3105e+01
3.19107493e+06, -1.4735e+00, 3.0936e+01, 7.7534e-01, -1.3129e+01
3.02214261e+06, -1.6994e+00, 3.1878e+01, 9.0871e-01, -1.3094e+01
2.86215340e+06, -1.9363e+00, 3.2768e+01, 1.0406e+00, -1.2987e+01
2.71063386e+06, -2.1818e+00, 3.3609e+01, 1.1678e+00, -1.2823e+01
2.56713561e+06, -2.4384e+00, 3.4387e+01, 1.2882e+00, -1.2608e+01
2.43123402e+06, -2.7048e+00, 3.5095e+01, 1.3996e+00, -1.2342e+01
2.30252692e+06, -2.9741e+00, 3.5725e+01, 1.5068e+00, -1.2039e+01
2.18063345e+06, -3.2517e+00, 3.6277e+01, 1.6069e+00, -1.1710e+01
2.06519289e+06, -3.5369e+00, 3.6755e+01, 1.6990e+00, -1.1357e+01
1.95586364e+06, -3.8260e+00, 3.7150e+01, 1.7857e+00, -1.0985e+01
1.85232218e+06, -4.1182e+00, 3.7462e+01, 1.8634e+00, -1.0603e+01
1.75426209e+06, -4.4145e+00, 3.7684e+01, 1.9352e+00, -1.0211e+01
1.66139321e+06, -4.7122e+00, 3.7812e+01, 2.0017e+00, -9.8176e+00
1.57344072e+06, -5.0104e+00, 3.7852e+01, 2.0611e+00, -9.4229e+00
1.49014434e+06, -5.3062e+00, 3.7802e+01, 2.1164e+00, -9.0320e+00
1.41125758e+06, -5.6035e+00, 3.7668e+01, 2.1660e+00, -8.6450e+00
1.33654702e+06, -5.8957e+00, 3.7447e+01, 2.2112e+00, -8.2700e+00
1.26579156e+06, -6.1831e+00, 3.7144e+01, 2.2528e+00, -7.9000e+00
1.19878182e+06, -6.4652e+00, 3.6760e+01, 2.2902e+00, -7.5406e+00
1.13531950e+06, -6.7402e+00, 3.6308e+01, 2.3261e+00, -7.1902e+00
1.07521682e+06, -7.0107e+00, 3.5780e+01, 2.3547e+00, -6.8536e+00
1.01829592e+06, -7.2711e+00, 3.5187e+01, 2.3845e+00, -6.5297e+00
9.64388352e+05, -7.5241e+00, 3.4533e+01, 2.4081e+00, -6.2170e+00
9.13334597e+05, -7.7688e+00, 3.3822e+01, 2.4320e+00, -5.9182e+00
8.64983576e+05, -8.0045e+00, 3.3061e+01, 2.4525e+00, -5.6287e+00
8.19192210e+05, -8.2292e+00, 3.2255e+01, 2.4693e+00, -5.3537e+00
7.75824993e+05, -8.4439e+00, 3.1408e+01, 2.4869e+00, -5.0911e+00
7.34753593e+05, -8.6500e+00, 3.0533e+01, 2.5027e+00, -4.8375e+00
6.95856473e+05, -8.8409e+00, 2.9630e+01, 2.5170e+00, -4.5984e+00
6.59018526e+05, -9.0242e+00, 2.8701e+01, 2.5294e+00, -4.3690e+00
6.24130744e+05, -9.1953e+00, 2.7761e+01, 2.5394e+00, -4.1515e+00
5.91089886e+05, -9.3580e+00, 2.6810e+01, 2.5505e+00, -3.9411e+00
5.59798179e+05, -9.5104e+00, 2.5856e+01, 2.5584e+00, -3.7424e+00
5.30163023e+05, -9.6526e+00, 2.4902e+01, 2.5683e+00, -3.5549e+00
5.02096722e+05, -9.7840e+00, 2.3947e+01, 2.5746e+00, -3.3761e+00
4.75516223e+05, -9.9074e+00, 2.3003e+01, 2.5801e+00, -3.2037e+00
4.50342870e+05, -1.0020e+01, 2.2073e+01, 2.5869e+00, -3.0445e+00
4.26502168e+05, -1.0124e+01, 2.1157e+01, 2.5935e+00, -2.8894e+00
4.03923570e+05, -1.0223e+01, 2.0258e+01, 2.5979e+00, -2.7411e+00
3.82540260e+05, -1.0312e+01, 1.9383e+01, 2.6028e+00, -2.5982e+00
3.62288961e+05, -1.0392e+01, 1.8525e+01, 2.6065e+00, -2.4683e+00
3.43109745e+05, -1.0465e+01, 1.7693e+01, 2.6109e+00, -2.3450e+00
3.24945858e+05, -1.0534e+01, 1.6886e+01, 2.6148e+00, -2.2234e+00
3.07743549e+05, -1.0598e+01, 1.6105e+01, 2.6170e+00, -2.1113e+00
2.91451913e+05, -1.0653e+01, 1.5353e+01, 2.6199e+00, -2.0028e+00
