frequency_hz,z_real_ohm,z_imag_ohm,z_mod_ohm,z_phase_deg,delta_phase_deg
898975.863,2.776079375464424,-26.958768062068174,27.101324545550646,-84.12068928265144,-27.058588111888113
806298.891,3.08701818982271,-31.843336559377537,31.99262047000974,-84.46282505756284,-30.95671342657343
723176.148,3.4638965823875045,-36.98405275068018,37.14591144929102,-84.64933245512455,-34.673838974358986
648622.672,3.928197459317273,-42.452495886213775,42.633849723528186,-84.71338360438864,-38.20996475524476
581755.043,4.502219751582304,-48.32998399818186,48.539235016181,-84.6779236725452,-41.56509076923078
521780.912,5.209992840492184,-54.70968757515698,54.95720098375886,-84.56013873576659,-44.73921701631714
467989.618,6.062660371428496,-61.83271703227406,62.129226185206626,-84.40008309934272,-47.80194452214465
419743.762,7.114604625386523,-69.6612524108747,70.02362234579961,-84.16851867880138,-50.65199627039641
376471.653,8.410914407081727,-78.2732869612896,78.72389048368763,-83.86677329760789,-53.268107226107375
337660.542,10.005522112316978,-87.74662863939756,88.31523826792525,-83.49480676265148,-55.63373193473209
302850.534,11.976700200829328,-98.17552785327153,98.9033650437084,-83.04469928606511,-57.73641258741276
271629.15,14.41959556586615,-109.66340081953328,110.60735154404864,-82.50917511137288,-59.56873659673676
243626.433,17.44210735158447,-122.30762612512103,123.54506269870353,-81.88385927878421,-61.12705361305379
218510.564,21.18058216036217,-136.21020312853506,137.8471490346051,-81.16133625048364,-62.40937995338013
195983.933,25.79823840594222,-151.47486942197665,153.65606129032042,-80.3344893492141,-63.41655244755262
175779.612,31.494588857412666,-168.20467079152627,171.12778968765767,-79.39475404429331,-64.14997016317035
157658.188,38.4991859342392,-186.47226010062917,190.40507111060833,-78.33458244872038,-64.61112167832187
141404.934,47.077852195701794,-206.32395580949142,211.62679156533397,-77.14661695771935,-64.80246270396289
126827.255,57.53197549312738,-227.74864556437015,234.90290283550544,-75.82300553742698,-64.72556829836847
113752.415,70.20277069923043,-250.68577488973585,260.3301495138741,-74.35547442192363,-64.38247878787897
102025.482,85.47374190821229,-275.02021132205635,287.996314544857,-72.73523786484984,-63.77534638694656
91507.4995,103.76162625556806,-300.5585202011885,317.9652483349846,-70.95382277885068,-62.90633613053631
82073.8336,125.48172117722349,-326.97971199401024,350.2304875439663,-69.00519742260839,-61.77867249417265
73612.7006,151.04034634779012,-353.8358782766789,384.724596277245,-66.8840336684115,-60.39588787878805
66023.8403,180.79204708433676,-380.6001745519344,421.3576356943208,-64.59142650442183,-58.767806526806694
59217.3288,214.9789458812467,-406.543033316119,459.8838822029785,-62.13022523918676,-56.90426526806543
53112.5123,253.68031458761914,-430.7868215990939,499.93098290936416,-59.507160868549526,-54.818330769230926
47637.0518,296.71270168121833,-452.41401425088617,541.0331483648379,-56.741402587946325,-52.53483263403278
42726.066,343.66807918686646,-470.42135104143006,582.5838962481153,-53.84986382248646,-50.07601072261087
38321.3622,393.83919279844787,-483.91692980770966,623.9270027324133,-50.85933818252578,-47.47355780885795
34370.7469,446.2569069393101,-492.18114694782537,664.3700086562585,-47.80164222223343,-44.76374592074605
30827.4073,499.844402066973,-494.7654132187959,703.3045146984737,-44.70742084855522,-41.98176876456888
27649.3567,553.3350463502326,-491.54523394066956,740.1326844081415,-41.615710603681315,-39.17017062937074
24798.9369,605.5056607359918,-482.68872257584735,774.3548980184947,-38.56067278617125,-36.36647762237772
22242.3717,655.3534927776047,-468.72148356766587,805.7220548388133,-35.57308254922008,-33.604831701631795
19949.3673,701.9013476685673,-450.3802104588888,833.9711240995961,-32.68656141184934,-30.921120979021065
17892.7526,744.5073078168294,-428.54073973416007,859.0333503447723,-29.924865601004193,-28.34150158508167
16048.1579,782.7247795552271,-404.1462025500454,880.9042136154198,-27.30877473099754,-25.88868386946394
14393.7256,816.4607207119205,-378.1314281969597,899.7730188529222,-24.850499549249307,-23.57689909090916
12909.8516,845.7455849284019,-351.31931783310097,915.8115840655216,-22.557802059742095,-21.415549510489573
11578.9528,870.8148320450978,-324.44838779846896,929.2928645237504,-20.434398792643428,-19.40986953379959
10385.2586,892.1710993404206,-298.0702991107739,940.6461469172565,-18.47423896013265,-17.55556720279725
9314.62435,910.0752684332251,-272.70938457392725,950.0565260280553,-16.681152670904726,-15.857197622377667
8354.36366,924.9372427158632,-248.57493937052598,957.7569647075841,-15.042688400366679,-14.303672517482559
7493.09791,937.3459474382313,-225.8671430218542,964.1749796980474,-13.547976519782818,-12.885372937062975
6720.62152,947.534105317626,-204.7497620934017,969.4036031588589,-12.193393330633057,-11.599196270396304
6027.78106,955.8600661091255,-185.24303940959658,973.6444164230836,-10.967805199189254,-10.43488748251751
5406.36672,962.7114229491642,-167.28089770146264,977.1367266726861,-9.85730470133995,-9.379492167832193
4849.01505,968.3046313102273,-150.87162295458447,979.9878089189607,-8.856052697263578,-8.42761195804198
4349.12173,972.8093380449527,-135.9257499001597,982.259547000374,-7.9541543457050965,-7.569938624708646
3900.76327,976.429096956957,-122.37744444788181,984.0680973864426,-7.143723922802194,-6.799074522144541
3498.62686,979.4425779580615,-110.0802803777292,985.6091677968367,-6.412605003712239,-6.1035551515151685
3137.94739,981.8678682872962,-99.00500187982207,986.8467465479445,-5.757862499999714,-5.480602144522159
2814.45098,983.788897276596,-88.98931010002275,987.8054928561487,-5.168663211966404,-4.919934778554793
2524.30438,985.3877362976536,-79.9579811517438,988.6264560468109,-4.639026291123346,-4.415911095571109
2264.06948,986.6333107357598,-71.81387212320331,989.2434089154873,-4.163034456187595,-3.9628944522144627
2030.66266,987.6187127803651,-64.47888963053575,989.721298670455,-3.7353814717804004,-3.555857156177166
1821.31814,988.4344054414919,-57.85110403553612,990.125913254777,-3.3495870472127223,-3.188647613053622
1633.55532,989.0617362133296,-51.9108056328202,990.4230660595372,-3.004406531157439,-2.8600795734265816
1465.14928,989.5590707770248,-46.576762461780625,990.6546064893201,-2.6948202311150653,-2.565384137529145
1314.10452,989.998355513696,-41.78029307213383,990.8795773498492,-2.416584624136545,-2.30053046386947
1178.63122,990.3352268050112,-37.4919689742172,991.0446554966616,-2.168060031479039,-2.06395235431236
1057.12409,990.645608809374,-33.66533424829809,991.2174720934579,-1.9463464392036394,-1.8528969743589798
948.143346,990.8904089576282,-30.21136062340745,991.3508606315593,-1.746355979131268,-1.662516643356648
850.397614,991.0877172193798,-27.0861536613246,991.4577766820361,-1.56548815012348,-1.4903376946386988
762.728657,991.2163812586404,-24.287059566232042,991.5138807590381,-1.4035962879091857,-1.3362195827505865
684.097645,991.3334231171345,-21.79103320421093,991.5728944042605,-1.2592465569536524,-1.1988014685314718
613.572839,991.3597261113347,-19.550469229045124,991.5524834332352,-1.1297757656125391,-1.0755436083916114
550.318557,991.414093820517,-17.554818548973238,991.5695018909387,-1.0144216430366895,-0.9657270512820538
493.585268,991.4532212768524,-15.725365205897438,991.577922853825,-0.9086878688531663,-0.8650687086247111
442.700712,991.5371002769639,-14.075377833224497,991.6369988492754,-0.813288358672398,-0.7742505337995359
397.061932,991.5817634935182,-12.65581193694062,991.6625248887339,-0.7312409993853618,-0.6961421118881139
356.128133,991.634753026877,-11.380341318840255,991.7000532314237,-0.6575171967859472,-0.6259579790209807
319.41427,991.6856525616402,-10.19925041953579,991.7380996037847,-0.5892526515072624,-0.5609708927738943
286.485302,991.7246178198338,-9.130410013879048,991.7666469371295,-0.527484313528566,-0.5021678041958056
256.951038,991.7379892697003,-8.19840409770873,991.7718755794891,-0.47363644306771807,-0.45090441258741387
230.461513,991.7281606119101,-7.361914239081585,991.7554851534455,-0.4253170214054303,-0.4049037062937075
206.702838,991.6950396428575,-6.583787544591005,991.7168940331111,-0.380376711092278,-0.3621196247086258
185.393486,991.6986872955035,-5.905344239636258,991.7162696427913,-0.3411795404005433,-0.32480378554778644
166.280952,991.7075762307011,-5.291770452667186,991.7216946239986,-0.3057284654889214,-0.29105433426573507
149.138762,991.7244247876095,-4.7299639010121854,991.7357043480988,-0.27326635012863293,-0.2601504773892781
133.76379,991.7539701934786,-4.264983809245574,991.7631408161026,-0.24639585310854434,-0.23456997878787944
119.97385,991.7330023317517,-3.8181639850308993,991.7403522546447,-0.22058719479045202,-0.2099997808857815
107.605539,991.7532997513833,-3.4324167289734087,991.7592394590325,-0.19829750698107396,-0.18878008881118935
96.5122984,991.7785661595719,-3.0673570612846164,991.7833094849286,-0.17720291556393358,-0.16869813962704008
86.5626791,991.7966326243194,-2.74469240949379,991.8004304401979,-0.15855961242382038,-0.15094973659673702
77.6387833,991.7958210492651,-2.453640420958313,991.7988561205852,-0.14174586217659893,-0.13494293006993044
69.6348673,991.8036580784309,-2.186097411028417,991.8060673335526,-0.12628906073746787,-0.1202280011655015
62.4560887,991.8192865400626,-1.9911194194395823,991.821285166527,-0.11502356077283965,-0.10950325244755277
56.0173829,991.8654286130852,-1.834113649997977,991.8671243925269,-0.1059486987686262,-0.10086414219114247
50.2424543,991.8700851825895,-1.6757194877182662,991.871500707586,-0.09679852672364331,-0.09215311282051307
45.062873,991.9054203418294,-1.554192680214595,991.9066379545953,-0.0897753015820482,-0.08546708111888135
40.4172638,991.8879804996467,-1.4316144371881045,991.8890136399153,-0.08269624170834282,-0.07872767039627061
36.2505783,991.9099210792947,-1.3109129950116742,991.910787333424,-0.0757223378826973,-0.0720885181818184
32.5134437,991.9063845566374,-1.1569488772036167,991.9070592827355,-0.06682914713255292,-0.06362208881118898
29.1615767,991.9364838117727,-1.0105711154190395,991.9369985895488,-0.058372124348516546,-0.0555709897435899
26.1552595,991.9834547864772,-0.8953093752529088,991.9838588147451,-0.05171198610645367,-0.0492305666666668
23.4588687,991.998262357601,-0.7718928909257626,991.9985626698937,-0.04458293692492987,-0.042443637762237876
21.0404535,992.0227949256163,-0.6800492638565175,992.0230280185197,-0.03927726940929494,-0.03739260536130546
18.8713569,991.9959447348814,-0.5964034389470517,991.9961240183915,-0.034447112413032534,-0.03279417389277398
16.9258761,991.9660625652881,-0.5247380149734191,991.966201355301,-0.030308769562064575,-0.028854366899766982
15.1809584,991.9616672076154,-0.47738797030721414,991.9617820806334,-0.02757396246394039,-0.026250787179487253
13.6159272,991.9186505408778,-0.4383577160305758,991.9187474023885,-0.02532067059812338,-0.024105572494172563
12.2122378,991.8928263549896,-0.40877019896660627,991.8929105843861,-0.02361223434963245,-0.022479093240093305
10.9532571,991.8576376491089,-0.3727704541324503,991.8577076983788,-0.021533506354786063,-0.020500087599067657
9.82406698,991.9059177884267,-0.31157111666644244,991.9059667227846,-0.017997381703136712,-0.017133705804195855
8.81128698,991.9426882516802,-0.30908632529126034,991.9427364068586,-0.01785319008950098,-0.016996464032634082
7.90291621,991.9545858927338,-0.25916520912069074,991.9546197484191,-0.014969508234097779,-0.01425117041958046
7.08819095,991.9362269532471,-0.2037363360621035,991.9362478762123,-0.011768127535297997,-0.011203403566433597
6.35745713,991.8814270956931,-0.17990140141498243,991.8814434104022,-0.010391958791607713,-0.009893247599067628
5.70205591,991.8844796053186,-0.14955324979784781,991.8844908799049,-0.008638878959330853,-0.008224299463869487
5.11422113,991.8775775344747,-0.11669693152970916,991.8775843993208,-0.006740994835823367,-0.006417492587412604
4.58698726,991.8271673840092,-0.1031382543149516,991.8271727465864,-0.005958081056480352,-0.005672137226107241
4.11410683,991.7945641493816,-0.1328630505516399,991.7945730486994,-0.007675472602366522,-0.007307095151515172
3.68997647,991.8014714609967,-0.11972351024044732,991.8014786870996,-0.006916355751968471,-0.006584413636363655
3.30957043,991.8367574331841,-0.10299720308884427,991.8367627810519,-0.005949875292686322,-0.0056643279067599235
2.96838111,991.8607163628132,-0.1263025972090395,991.8607244044392,-0.007295989853334688,-0.006945847571095591
2.66236558,991.9033602097688,-0.0886297079382889,991.9033641694414,-0.005119559419329561,-0.004873876393939407
2.38789772,991.9005639377262,-0.09043989368016832,991.900568060808,-0.00522413675475152,-0.0049734344848484996
2.14172523,991.9161096303197,-0.0993361537776477,991.916114604365,-0.005737927119276046,-0.005462572557109573
1.92093108,991.9142668136701,-0.06602077448498382,991.9142690108068,-0.0038135470565816743,-0.0036305402983683086
1.72289899,991.9161908814575,-0.06084398561149544,991.9161927475378,-0.003514514242199492,-0.0033458579594405637
1.54528236,991.9106210251597,-0.05965253639263092,991.9106228188823,-0.003445712240580165,-0.003280356779020984
1.38597654,991.8975573786206,-0.062446388614856775,991.8975593443233,-0.0036071411630387803,-0.0034340367571095627
1.24309383,991.8770001916452,-0.06922533207636407,991.8770026073412,-0.003998801621734332,-0.0038068978937062987
1.11494114,991.8489498299853,-0.07998898459940475,991.8489530553945,-0.004620694729709261,-0.004398940188811193
