Freq,Mag1,Mag2,Zr,Zi,Ar,Ai
1000000.000001223,-84.05349134032974,-9.935311111552302,241858.69676732353,-77514.04712841414,3.74951141253605e-06,1.2016925925117825e-06
896924.5376076346,-84.5231575229488,-9.930046963638631,257935.8513061933,-73680.16000114717,3.58445020072639e-06,1.0239090958788447e-06
804473.6261616852,-85.17725580440356,-9.925447271885762,280424.7097273314,-71479.1942286854,3.3484629720034984e-06,8.535105033223525e-07
721552.1351617242,-85.68745190002676,-9.921624088196793,299377.7251953579,-68151.85478358931,3.1756903996302975e-06,7.229301739533648e-07
647177.8151889396,-86.10520414486774,-9.91872023193629,315805.99681631284,-64248.27761588538,3.040652212896738e-06,6.185970800965321e-07
580469.6626375489,-86.58791285439456,-9.916656021421383,335274.906046424,-60984.26325921619,2.8871066047686444e-06,5.251453838846308e-07
520637.4837558065,-87.05628375261571,-9.914090469834127,355097.6073077472,-57764.83559742688,2.743526425397113e-06,4.4629800274298524e-07
466972.5343783079,-87.39771937392625,-9.912474240402522,370360.6721117065,-53889.2012648405,2.6440910529430394e-06,3.8472755247521237e-07
418839.1244722169,-87.77274546553485,-9.910719238862296,387586.12422850175,-50444.81126354975,2.537095002257341e-06,3.3020603820975343e-07
375667.0880487702,-88.13570771701589,-9.910540191665456,404811.1065450474,-47122.438520873846,2.4372621857375365e-06,2.8371192304203044e-07
336945.0292421377,-88.25287199108914,-9.910414669848128,410865.86679956137,-42768.39226090024,2.4077948752056602e-06,2.506353630899644e-07
302214.2645518258,-88.549725841271,-9.910456524355688,425608.7152333538,-39604.03346137881,2.3294060804516093e-06,2.1675748887041377e-07
271063.3894912461,-88.65689926967683,-9.910719198961127,431253.37104301626,-35860.36432314398,2.3028989267586045e-06,1.9149483820429876e-07
243123.4052814968,-88.83755324883795,-9.910785681168104,440620.50265101856,-32725.13540037379,2.257076412109576e-06,1.6763434917547862e-07
218063.3478634334,-88.94416448870464,-9.911722327606627,446263.3110828653,-29586.32135961958,2.231023251374265e-06,1.479121613555311e-07
195586.3674513435,-89.04251022867578,-9.913314106205501,451464.31522182265,-26703.035017922004,2.207292410726457e-06,1.3055606955216776e-07
175426.2121884387,-89.17182169086246,-9.91392018745977,458368.59722295747,-24169.128957169334,2.175601493421493e-06,1.1471639499845007e-07
157344.0742511817,-89.20398917510775,-9.91510902527067,460138.25594357424,-21612.113537241796,2.168476062769165e-06,1.0185058570114905e-07
141125.7610428699,-89.28371170788942,-9.915632025807348,464459.7881290179,-19416.01083117263,2.1492829896787825e-06,8.984739448588475e-08
126579.1579677468,-89.34931423466166,-9.917044039414822,467990.77549299574,-17396.094281369977,2.1338458163040153e-06,7.931904846463604e-08
113531.9527308462,-89.49177734506249,-9.91995347466325,475640.63650283986,-15704.601228151965,2.1001380796042227e-06,6.93419117986658e-08
101829.5942066815,-89.58015771109702,-9.921989577306526,480448.52593974327,-14077.567741732837,2.079602997129198e-06,6.093421144488769e-08
91333.4616984892,-89.43622547625034,-9.923571395759444,472509.21080076497,-12273.886704722281,2.1149338064606757e-06,5.493746436073358e-08
81919.22290192186,-89.49525003639692,-9.925368882407364,475667.59080890816,-10940.463776613858,2.1011969040087872e-06,4.832801111538501e-08
73475.36112239314,-89.56332378389476,-9.927353088797945,479328.594188637,-9753.436218324894,2.0853880562418955e-06,4.24337284351688e-08
65901.85430017585,-89.54820839657853,-9.928728066135475,478441.05001622206,-8602.406323151627,2.0894461738184565e-06,3.756840048932136e-08
59108.99019559865,-89.52935414135327,-9.930943999612277,477298.75062421814,-7576.33976528309,2.094596095801157e-06,3.324829925087971e-08
53016.30369957669,-89.55425107650467,-9.933052592418521,478566.16850634996,-6699.131303156474,2.089165826379213e-06,2.924485077719414e-08
47551.6236813506,-89.5940552992673,-9.93521880689861,480655.1354487718,-5930.043651881021,2.0801771114573886e-06,2.5664015974923056e-08
42650.21808283547,-89.58533974416662,-9.937636105561687,480047.61872592726,-5214.0907079759,2.082880948283845e-06,2.2623443538977946e-08
38254.0271327652,-89.6685410469499,-9.939771909051107,484555.79186894797,-4632.005540939111,2.0635572729762597e-06,1.97261262435934e-08
34310.97559764337,-89.45959203043265,-9.940498996161802,473002.4545159483,-3975.2505051625026,2.1140046173678183e-06,1.7766711024168553e-08
30774.35592274548,-89.80704493194978,-9.942427698133486,492203.69891648274,-3637.2674857307056,2.0315682239323217e-06,1.501280275263949e-08
27602.2749561475,-89.5025067794183,-9.943175106090111,475205.7901806206,-3085.043395341382,2.1042627766168843e-06,1.366090673810434e-08
24757.15770193112,-89.56764395943658,-9.944898095630581,478690.5483521309,-2730.4120796333855,2.0889643002346064e-06,1.1915283013041092e-08
22205.3022242567,-89.82597992091362,-9.945987764765338,493083.0850624669,-2470.36097041113,2.0280048748869985e-06,1.0160364941518247e-08
19916.48042990486,-90.119179962571,-9.94704107796512,509952.9871139536,-2244.658562742061,1.960927086823676e-06,8.631406987656351e-09
17863.58000034208,-89.93478371936322,-9.948162883520427,499176.6684731959,-1930.5109325995652,2.0032687957465998e-06,7.747422015842951e-09
16022.28323180421,-90.04681302213511,-9.949613842894422,505573.71143743076,-1718.7217343235868,1.9779280856370754e-06,6.724060038739188e-09
14370.77897908698,-89.82265238277314,-9.949779060824849,492683.07098221756,-1471.6259342742437,2.029684267697894e-06,6.062591111113001e-09
12889.50429086333,-89.7403507280387,-9.951015225605795,487967.3594292001,-1277.2912905409255,2.049303358151692e-06,5.364205782340268e-09
11560.91267606008,-89.83288656309377,-9.952306614918701,493121.33477630524,-1137.2590933406307,2.0278876834875157e-06,4.676807807080222e-09
10369.26625628475,-89.7228311205756,-9.953265450929184,486858.5219035602,-986.3190028070284,2.053976362373313e-06,4.161118325718761e-09
9300.449342237273,-89.72071395809542,-9.954205261830877,486687.4111652778,-867.7586121783545,2.0547004052637242e-06,3.6635095365317656e-09
8341.801225819192,-89.90242158588379,-9.954622959153374,496953.4133754241,-785.7146833865,2.0122560250741376e-06,3.1815036642867167e-09
7481.96620727353,-89.78477356930738,-9.955409688509855,490222.73884439765,-691.3311627443868,2.0398849991894953e-06,2.876725122296156e-09
6710.75908084655,-89.75198434390828,-9.955613680181925,488364.07085789373,-619.3838106612455,2.047649389326189e-06,2.5969987501969145e-09
6019.044485577167,-89.670207584147,-9.955887111456466,483772.1243300233,-552.3704057872494,2.0670862292493987e-06,2.3601964681801422e-09
5398.628692059481,-89.60589791614834,-9.955301690191282,480235.60140394676,-491.97080025247,2.0823090741457782e-06,2.1331930797833165e-09
4842.162543334837,-90.24958953792081,-9.956190358171655,517127.6538841285,-482.82619458726424,1.933756821456966e-06,1.8054893029766989e-09
4343.054400196295,-89.97248463970143,-9.956128095212303,500892.2438695146,-420.65972665968155,1.9964359738858753e-06,1.6766484635109772e-09
3895.392059696101,-89.69373550611571,-9.956533778884706,485048.51798809465,-363.45291069465026,2.0616482711439983e-06,1.5448187906725473e-09
3493.872721939104,-89.53601944699207,-9.95576641452697,476361.8307440795,-319.35739359113114,2.0992436547436864e-06,1.4073524342714066e-09
3133.740175581326,-89.65560784077483,-9.956957819625593,482900.26398983883,-287.06043742896696,2.0708202525427486e-06,1.2310007093808374e-09
2810.728457962311,-88.89094812867458,-9.95723411788521,442187.55867331836,-236.0573966220119,2.2614831543773574e-06,1.2072701175232463e-09
2521.011322495383,-89.76257501745667,-9.95671368440166,488898.36837571335,-231.39026936246282,2.045414426969385e-06,9.680723557878513e-10
2261.156914730017,-89.87643544128518,-9.956836662466916,495343.022324555,-203.5680300486005,2.018802700431713e-06,8.296547448172394e-10
