% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 MHz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 100 ms, 5 cycles; Settling time 200 ms, 10 cycles
% Internal 10 MHz clock
% Acquired 2026-05-13 T 17:41:20 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
9.99996530e-01, -9.3885e+01, 1.1225e+02, -9.9523e+00, -2.5545e-03
1.11491716e+00, -9.7039e+01, 2.7301e+02, -9.9522e+00, -3.3332e-04
1.24304458e+00, -9.9248e+01, 3.6238e+02, -9.9522e+00, -5.1273e-04
1.38589655e+00, -9.8302e+01, 4.5318e+02, -9.9520e+00, -1.0933e-03
1.54516520e+00, -9.4927e+01, 3.8547e+02, -9.9516e+00, -1.8882e-03
1.72273717e+00, -9.8020e+01, 2.1860e+02, -9.9516e+00, -2.1446e-03
1.92071590e+00, -9.8387e+01, 2.8861e+02, -9.9522e+00, -2.1235e-03
2.14144655e+00, -9.5643e+01, 2.5569e+02, -9.9520e+00, -1.7938e-03
2.38754379e+00, -9.8333e+01, 4.1194e+02, -9.9516e+00, -3.1196e-03
2.66192277e+00, -1.0821e+02, 3.6130e+02, -9.9516e+00, 5.1367e-04
2.96783367e+00, -1.0994e+02, 2.9630e+02, -9.9514e+00, -2.7696e-03
3.30890017e+00, -1.0748e+02, 4.5946e+02, -9.9516e+00, -2.7848e-03
3.68916238e+00, -9.8747e+01, 3.8652e+02, -9.9516e+00, -1.1432e-03
4.11312471e+00, -9.8550e+01, 4.1031e+02, -9.9518e+00, -2.7941e-03
4.58580923e+00, -9.8347e+01, 4.1198e+02, -9.9514e+00, -2.3297e-03
5.11281514e+00, -1.1137e+02, 3.4669e+02, -9.9524e+00, -6.1717e-04
5.70038511e+00, -1.0421e+02, 3.5295e+02, -9.9517e+00, -3.8440e-03
6.35547922e+00, -1.0579e+02, 2.4361e+02, -9.9526e+00, -4.3175e-04
7.08585743e+00, -1.0944e+02, 3.8180e+02, -9.9509e+00, -7.8454e-04
7.90017144e+00, -1.0930e+02, 3.8167e+02, -9.9516e+00, -3.6595e-03
8.80806727e+00, -9.9883e+01, 4.8621e+02, -9.9515e+00, -8.0869e-04
9.82029941e+00, -1.0266e+02, 4.8510e+02, -9.9526e+00, -2.4661e-04
1.09488583e+01, -1.0686e+02, 3.7626e+02, -9.9533e+00, -9.0750e-04
1.22071124e+01, -1.0224e+02, 3.8478e+02, -9.9527e+00, -1.6803e-03
1.36099663e+01, -9.4046e+01, 2.9705e+02, -9.9527e+00, -8.1617e-04
