% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 MHz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization off
% Averaging time 100 ms, 5 cycles; Settling time 200 ms, 10 cycles
% Internal 10 MHz clock
% Acquired 2026-05-13 T 17:37:24 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
9.99996530e-01, -1.3491e+01, 5.1012e-05, -1.3437e+01, 2.5456e-03
1.11491716e+00, -1.3491e+01, 1.0848e-03, -1.3438e+01, -7.7050e-04
1.24304458e+00, -1.3491e+01, 7.3316e-04, -1.3438e+01, -6.6121e-04
1.38589655e+00, -1.3491e+01, -4.3889e-03, -1.3438e+01, -3.3511e-03
1.54516520e+00, -1.3491e+01, 6.7775e-04, -1.3437e+01, 1.4948e-03
1.72273717e+00, -1.3492e+01, 1.0316e-03, -1.3437e+01, 2.2586e-03
1.92071590e+00, -1.3491e+01, -9.5130e-04, -1.3436e+01, 1.5780e-03
2.14144655e+00, -1.3492e+01, 6.0605e-04, -1.3436e+01, 4.1512e-03
2.38754379e+00, -1.3491e+01, -2.2652e-03, -1.3436e+01, -1.3339e-04
2.66192277e+00, -1.3490e+01, 1.4026e-03, -1.3436e+01, 2.1549e-04
2.96783367e+00, -1.3491e+01, -2.4390e-04, -1.3436e+01, 1.5997e-03
3.30890017e+00, -1.3491e+01, 3.0954e-03, -1.3437e+01, -3.8175e-04
3.68916238e+00, -1.3491e+01, 1.1504e-05, -1.3437e+01, -9.3595e-04
