# Freq,Mag1,Mag2,V1,V2,Zr,Zi,Ar,Ai
9.999965300266921986e-01,-9.136467062204106071e+01,-9.142483596536784773e+01,1.709214091069130993e-05,1.697415631964307217e-05,2.135674857641651769e-01,2.711355640309350279e-01,1.792793055448594242e+00,-2.276048503078644814e+00
1.114917159048274042e+00,-1.088185962367431046e+02,-8.461310441554499562e+01,2.291396175167781966e-06,3.718559841977781222e-05,-1.664638056459241398e+02,-7.429983262441572833e+02,-2.871270006453519128e-04,1.281569167971410199e-03
1.243044584871803027e+00,-1.114979850435641993e+02,-8.317009266815591673e+01,1.683180702991406027e-06,4.390615055366892008e-05,-1.254245826002288140e+03,6.081603313947272049e+00,-7.972731252801459933e-04,-3.865828197554622786e-06
1.385896546159633980e+00,-1.077803869865644941e+02,-9.304317308102253037e+01,2.582323493179563596e-06,1.408871362841271022e-05,-1.991359461612673272e+02,-9.990416794091319730e+01,-4.011928343198853560e-03,2.012737382136217321e-03
1.545165201661119037e+00,-1.132750770172269057e+02,-8.401129671534312138e+01,1.371753714277816176e-06,3.985337997320388123e-05,1.382491719970336362e+03,-2.369012881209336285e+02,7.026978762106238707e-04,1.204130409097228213e-04
1.722737174748280919e+00,-1.125213452072982960e+02,-8.034452415135318404e+01,1.496107276885088959e-06,6.078603112227618741e-05,1.980069674724628840e+03,7.452516121756640644e+01,5.043183198325769997e-04,-1.898135432821167564e-05
1.920715901490112953e+00,-1.122930487719561938e+02,-8.756048524117821330e+01,1.535951693319603305e-06,2.648535104637119632e-05,8.073516337796545486e+02,-8.842817945031551119e+01,1.223934692351770622e-03,1.340559826504143836e-04
2.141446546990557920e+00,-1.101090905028888045e+02,-9.155774541169773784e+01,1.975038066358666739e-06,1.671639886165012293e-05,-3.629922260366075761e+02,8.665226106087079927e+01,-2.606355210653206120e-03,-6.221801899088219134e-04
2.387543785137653973e+00,-1.147541443270328045e+02,-8.474034590875518802e+01,1.156971815221669617e-06,3.664482906673447794e-05,-1.531423621736820451e+03,-8.263092280765405917e+01,-6.510916290647619960e-04,3.513090785483901165e-05
2.661922770829998175e+00,-1.078738510139576050e+02,-7.973842108645112603e+01,2.554685511482073062e-06,6.517918734021077522e-05,-1.222743309487040960e+03,-8.477774365666333267e+01,-8.139204530810936799e-04,5.643239999176257609e-05
