Zs,Zp
(0.31181721634374604+0.002190514844758022j),(-297825.323804854-727767.2558610027j)
(0.30602520905675945-0.0016289641121240578j),(59324.795836292935+1129042.522166759j)
(0.30602522053351233-0.0012242649109012835j),(1456700.0875768454-60559.58984360278j)
(0.30602522717834146+0.0009111943921550903j),(-72610.56151178862-1305570.4052699239j)
(0.31181725891437084+0.0007174572131407412j),(800391.9189702134-381309.2431876138j)
(0.31760994796148356+0.0010775611736199503j),(-989325.801790883+789789.1252629583j)
(0.31760991047140585+0.0022212514064874093j),(421373.0152304485+1251357.1999260033j)
(0.32340322558577217+0.003113737428637676j),(-237985.46323483784+932899.7402379313j)
(0.3176099246704922+0.0018721725225593405j),(808921.5723638296-1033320.2860730821j)
(0.31181725323108367-0.0010424094391523599j),(4090467.876203-92790.14498208898j)
(0.3176099334513238+0.0016190642049672222j),(2212616.6532595716+4476445.985424747j)
(0.31181717138073495-0.0030533092800018925j),(-618507.9550456717-3710562.98798186j)
(0.31181725715113684-0.0008319658606096406j),(1231497.7264526286-614594.5863991092j)
(0.31760985329981617+0.0032691642776950026j),(859173.5958713585-1035410.1767273807j)
(0.31760995068339515+0.0009419219533715707j),(809536.6947635041-1035565.2556315213j)
(0.306025189210235+0.0021564612006794806j),(5728251.364594965+1355103.5942547077j)
(0.3002338718545161+0.000422011420892677j),(2562029.574318495+316679.084493634j)
(0.30023380239423414-0.002676906996614609j),(-1376259.3387796804+2773623.5939786183j)
(0.3118172640235506+2.5289477680866902e-05j),(4377165.258910213-1750830.7208667416j)
(0.3060252190856483+0.00128238011306097j),(4310642.95240078-1713137.907411564j)
(0.32340316837116134+0.003931135770789635j),(-926782.7981509126-1265718.7268392562j)
(0.3234033069363984+0.0012278760920076998j),(-1241743.6939978676-1766735.2545382045j)
(0.3234032772677531+0.0021198428764540697j),(3361771.757691682-980576.0902972315j)
(0.31760995609398934+0.0005854222118871179j),(1867957.1924761566-862415.8118051403j)
(0.3176096404384765+0.00566646124399656j),(364231.3182447166+713377.5110082021j)
(0.31181720347657205-0.0024684198609666182j),(1070184.7900660976-372505.1254080323j)
(0.31760995862635255-0.0002964390987621125j),(502226.37776525744-1266872.8854427289j)
(0.3176099178974212+0.002046127956239095j),(-1839332.6516382229+1912920.8406804088j)
(0.31760995707725836+0.0004937285182116708j),(1772659.3262143414+478272.1653789743j)
(0.3176099286893108+0.001760850880921631j),(743243.9792745617+1254196.4254985023j)
(0.30602523426099815-0.00034303685587945744j),(-24451.987134932624+1417165.6986132804j)
(0.3060251937805458-0.002047070461398591j),(1417206.255033495+130617.10814135261j)
(0.3060252063374791+0.0017108820507884146j),(1704759.2496105258+703871.487948276j)
(0.317609958295928-0.0003480338167357963j),(-1014058.0200592345+227494.0665789056j)
(0.3176099470000082-0.0011215593926823745j),(-1850759.99799323-898935.1516778454j)
(0.31181726272349053+0.0003625703241090362j),(2404969.996501432-1192535.1846397447j)
