% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (on), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 200 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 50 cycles; Settling time 1.00 s, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-19 T 18:03:04 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg), Channel 2 Magnitude (dBm), Channel 2 Phase (deg)
1.00000000e+06, -1.1594e+00, 7.7202e+00, 5.2364e-01, -2.5579e+00
8.96924538e+05, -1.1846e+00, 8.3977e+00, 5.2911e-01, -2.8833e+00
8.04473626e+05, -1.2108e+00, 9.1594e+00, 5.4334e-01, -3.2422e+00
7.21552135e+05, -1.2420e+00, 1.0018e+01, 5.5894e-01, -3.6330e+00
6.47177815e+05, -1.2753e+00, 1.0975e+01, 5.8719e-01, -4.0538e+00
5.80469663e+05, -1.3168e+00, 1.2049e+01, 6.1831e-01, -4.4969e+00
5.20637484e+05, -1.3648e+00, 1.3245e+01, 6.5684e-01, -4.9603e+00
4.66972534e+05, -1.4218e+00, 1.4575e+01, 7.0534e-01, -5.4452e+00
4.18839124e+05, -1.4880e+00, 1.6047e+01, 7.6082e-01, -5.9437e+00
3.75667088e+05, -1.5692e+00, 1.7665e+01, 8.2946e-01, -6.4540e+00
3.36945029e+05, -1.6660e+00, 1.9441e+01, 9.0589e-01, -6.9699e+00
3.02214265e+05, -1.7813e+00, 2.1385e+01, 9.9540e-01, -7.4744e+00
2.71063389e+05, -1.9193e+00, 2.3490e+01, 1.0966e+00, -7.9678e+00
2.43123405e+05, -2.0863e+00, 2.5762e+01, 1.2091e+00, -8.4247e+00
2.18063348e+05, -2.2818e+00, 2.8195e+01, 1.3341e+00, -8.8349e+00
1.95586367e+05, -2.5131e+00, 3.0779e+01, 1.4712e+00, -9.1800e+00
1.75426212e+05, -2.7829e+00, 3.3501e+01, 1.6152e+00, -9.4440e+00
1.57344074e+05, -3.0945e+00, 3.6344e+01, 1.7679e+00, -9.6147e+00
1.41125761e+05, -3.4483e+00, 3.9273e+01, 1.9255e+00, -9.6834e+00
1.26579158e+05, -3.8561e+00, 4.2263e+01, 2.0799e+00, -9.6443e+00
1.13531953e+05, -4.3087e+00, 4.5284e+01, 2.2351e+00, -9.4992e+00
1.01829594e+05, -4.8151e+00, 4.8296e+01, 2.3828e+00, -9.2558e+00
9.13334617e+04, -5.3691e+00, 5.1264e+01, 2.5219e+00, -8.9288e+00
8.19192229e+04, -5.9687e+00, 5.4168e+01, 2.6505e+00, -8.5302e+00
7.34753611e+04, -6.6147e+00, 5.6959e+01, 2.7678e+00, -8.0783e+00
6.59018543e+04, -7.2968e+00, 5.9626e+01, 2.8710e+00, -7.5879e+00
5.91089902e+04, -8.0178e+00, 6.2151e+01, 2.9632e+00, -7.0789e+00
5.30163037e+04, -8.7727e+00, 6.4519e+01, 3.0405e+00, -6.5645e+00
4.75516237e+04, -9.5543e+00, 6.6723e+01, 3.1104e+00, -6.0530e+00
4.26502181e+04, -1.0367e+01, 6.8761e+01, 3.1669e+00, -5.5592e+00
3.82540271e+04, -1.1201e+01, 7.0619e+01, 3.2151e+00, -5.0801e+00
3.43109756e+04, -1.2053e+01, 7.2332e+01, 3.2545e+00, -4.6335e+00
3.07743559e+04, -1.2918e+01, 7.3885e+01, 3.2884e+00, -4.2115e+00
2.76022750e+04, -1.3796e+01, 7.5289e+01, 3.3162e+00, -3.8219e+00
2.47571577e+04, -1.4680e+01, 7.6552e+01, 3.3412e+00, -3.4590e+00
2.22053022e+04, -1.5577e+01, 7.7709e+01, 3.3585e+00, -3.1276e+00
1.99164804e+04, -1.6473e+01, 7.8714e+01, 3.3738e+00, -2.8264e+00
1.78635800e+04, -1.7381e+01, 7.9624e+01, 3.3874e+00, -2.5491e+00
1.60222832e+04, -1.8297e+01, 8.0435e+01, 3.3962e+00, -2.2974e+00
1.43707790e+04, -1.9208e+01, 8.1104e+01, 3.4068e+00, -2.0675e+00
1.28895043e+04, -2.0123e+01, 8.1743e+01, 3.4133e+00, -1.8633e+00
1.15609127e+04, -2.1043e+01, 8.2275e+01, 3.4172e+00, -1.6755e+00
1.03692663e+04, -2.1957e+01, 8.2728e+01, 3.4236e+00, -1.5078e+00
9.30044934e+03, -2.2884e+01, 8.3149e+01, 3.4263e+00, -1.3574e+00
8.34180123e+03, -2.3812e+01, 8.3436e+01, 3.4307e+00, -1.2212e+00
7.48196621e+03, -2.4739e+01, 8.3714e+01, 3.4335e+00, -1.0979e+00
6.71075908e+03, -2.5663e+01, 8.3895e+01, 3.4354e+00, -9.8733e-01
6.01904449e+03, -2.6584e+01, 8.4030e+01, 3.4373e+00, -8.8543e-01
5.39862869e+03, -2.7504e+01, 8.4146e+01, 3.4401e+00, -7.9123e-01
4.84216254e+03, -2.8422e+01, 8.4123e+01, 3.4386e+00, -7.1816e-01
4.34305440e+03, -2.9337e+01, 8.4116e+01, 3.4402e+00, -6.4689e-01
3.89539206e+03, -3.0276e+01, 8.4012e+01, 3.4402e+00, -5.7873e-01
3.49387272e+03, -3.1203e+01, 8.3899e+01, 3.4404e+00, -5.1543e-01
3.13374018e+03, -3.2114e+01, 8.3825e+01, 3.4426e+00, -4.7004e-01
2.81072846e+03, -3.3039e+01, 8.3551e+01, 3.4416e+00, -4.1634e-01
2.52101132e+03, -3.3946e+01, 8.3380e+01, 3.4428e+00, -3.7522e-01
2.26115691e+03, -3.4856e+01, 8.2973e+01, 3.4440e+00, -3.4464e-01
2.02808712e+03, -3.5768e+01, 8.2732e+01, 3.4449e+00, -3.0510e-01
1.81904110e+03, -3.6679e+01, 8.2276e+01, 3.4446e+00, -2.7907e-01
1.63154260e+03, -3.7571e+01, 8.1708e+01, 3.4453e+00, -2.4903e-01
1.46337059e+03, -3.8469e+01, 8.1096e+01, 3.4428e+00, -2.2654e-01
1.31253299e+03, -3.9382e+01, 8.0506e+01, 3.4449e+00, -2.0624e-01
1.17724305e+03, -4.0264e+01, 7.9780e+01, 3.4462e+00, -1.8269e-01
1.05589818e+03, -4.1149e+01, 7.9083e+01, 3.4467e+00, -1.5636e-01
9.47060982e+02, -4.1978e+01, 7.8165e+01, 3.4443e+00, -1.4808e-01
8.49442234e+02, -4.2812e+01, 7.7494e+01, 3.4458e+00, -1.2143e-01
7.61885583e+02, -4.3697e+01, 7.6195e+01, 3.4460e+00, -1.2322e-01
6.83353874e+02, -4.4550e+01, 7.5090e+01, 3.4468e+00, -1.0282e-01
6.12916857e+02, -4.5391e+01, 7.3716e+01, 3.4452e+00, -1.0350e-01
5.49740169e+02, -4.6204e+01, 7.2947e+01, 3.4455e+00, -8.7422e-02
4.93075447e+02, -4.7012e+01, 7.1726e+01, 3.4470e+00, -1.0200e-01
4.42251467e+02, -4.7762e+01, 6.9952e+01, 3.4481e+00, -6.1023e-02
3.96666193e+02, -4.8647e+01, 6.8561e+01, 3.4454e+00, -6.6749e-02
3.55779641e+02, -4.9424e+01, 6.7023e+01, 3.4465e+00, -6.2053e-02
3.19107490e+02, -5.0171e+01, 6.5255e+01, 3.4477e+00, -5.0474e-02
2.86215338e+02, -5.0915e+01, 6.3404e+01, 3.4467e+00, -4.3464e-02
2.56713560e+02, -5.1512e+01, 6.1643e+01, 3.4460e+00, -3.3048e-02
2.30252691e+02, -5.2176e+01, 6.0110e+01, 3.4481e+00, -3.1020e-02
2.06519288e+02, -5.2816e+01, 5.7789e+01, 3.4473e+00, -3.0681e-02
1.85232217e+02, -5.3384e+01, 5.6215e+01, 3.4465e+00, -3.1214e-02
1.66139321e+02, -5.4037e+01, 5.4070e+01, 3.4483e+00, -2.4482e-02
